onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
125.016	1	126.0338	Apropo	5	0	1	NaN	NaN
128.0193	1	129.0557	BisliBbq	11	1	1	716.7275	1047.823
130.0048	1	131.0226	ChocolateParaCookies5	57	0	0	NaN	438.2698
132.0071	1	133.0249	HispusimShatiah	55	0	0	NaN	NaN
134.0093	1	135.0457	ChocolateParaMilk3	54	1	0	716.7315	1025.877
137.0127	1	138.0306	DoritosGrill	20	0	1	NaN	NaN
139.0151	1	140.0328	ChocolateParaMarir2	58	0	0	NaN	NaN
143.0195	1	144.0372	Smarties	50	0	0	NaN	NaN
145.0051	1	146.0228	Loacker	47	0	0	NaN	NaN
150.0106	1	151.0454	Kitkat	17	1	1	666.7209	928.5146
152.0129	1	153.0492	KifkefMaklot2	49	1	0	666.7216	950.1909
156.0174	1	157.0354	ClickBalls5	39	0	0	NaN	NaN
158.0196	1	159.0375	KinderJoy	10	0	1	NaN	NaN
161.0063	1	162.0241	BambaNugat	7	0	1	NaN	NaN
166.0118	1	167.0297	GumiSnakes3	41	0	0	NaN	NaN
168.0141	1	169.0319	BisliGrill	4	0	1	NaN	NaN
170.0163	1	171.0342	Shugi	21	0	1	NaN	NaN
174.0038	1	175.022	ClickBisquit2	15	0	1	NaN	NaN
178.0087	1	179.0431	Popco	9	1	1	683.3728	1010.452
182.0133	1	183.0309	SkittlesFruits2	52	0	0	NaN	NaN
184.0153	1	185.0498	ClickBlackWhite3	46	1	0	683.3765	979.782
186.0175	1	187.0355	Snickers	22	0	1	NaN	NaN
188.0029	1	189.021	BisliOnion	42	0	0	NaN	NaN
190.0054	1	191.0411	CrunchShokoVanil	16	1	1	633.3929	901.7325
196.0122	1	197.0299	Dubonim	3	0	1	NaN	NaN
199.0155	1	200.0505	Bounty	14	1	1	650.055	923.5834
201.0177	1	202.0355	Cheetos	13	0	1	NaN	NaN
203.0034	1	204.021	Mars	18	0	1	NaN	NaN
206.0067	1	207.0245	Tortit	19	0	1	NaN	NaN
208.0089	1	209.0268	BabyDoll	40	0	0	NaN	NaN
210.0112	1	211.0289	Tictac	45	0	0	NaN	NaN
212.0133	1	213.0495	ClickXLwhite4	51	1	0	700.0557	997.7509
215.0167	1	216.0515	GumiWine2	43	1	0	716.7273	986.3739
217.002	1	218.02	KinderBuenoBrown3	12	0	1	NaN	NaN
219.0045	1	220.0224	Keifli	6	0	1	NaN	NaN
221.0068	1	222.0414	CrunchBisquitWhite2	48	1	0	733.3875	1076.321
223.009	1	224.0268	SkittlesSour4	53	0	0	NaN	NaN
229.0157	1	230.0336	KashitSour	56	0	0	NaN	NaN
232.0021	1	233.0389	BagaleShtuhim	8	1	1	666.7153	945.0385
236.0069	1	237.0247	KinderBuenoWhite2	44	0	0	NaN	NaN
