onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.023887	0.91899	3.642065	Hit	BisliOnion	13	17	1	y	1	0	1118.29
9.02509	0.91899	10.55879	HispusimShatiah	CrunchBisquitBrown3	10	8	1	b	1	1	1037.05
22.02736	0.91899	23.54084	Mekupelet	Shugi	43	53	0	b	2	0	1008.79
26.02808	0.91899	28.02857	DoritosGrill	Cheetos	47	48	1	x	2	NaN	NaN
31.02898	0.91899	32.26259	BisliOnion	CrunchBisquitWhite2	17	12	0	y	1	1	739.16
34.02946	0.91899	35.56317	Mentos	Dubonim	49	50	0	y	2	1	1039.69
39.03039	0.91899	40.59111	CrunchShokoVanil	Mentos	52	49	1	b	2	1	1057.76
43.03103	0.91899	44.46471	ClickXLwhite4	KinderBuenoWhite2	16	15	0	b	1	0	936.12
52.0326	0.91899	53.34972	KinderBuenoBrown3	Hit	9	13	0	b	1	0	822.51
57.02456	0.91899	58.14127	Popco	KinderBuenoWhite2	11	15	0	y	1	1	609.61
61.0246	0.91899	62.34138	DoritosGrill	Smarties	47	54	1	y	2	0	813.55
68.02469	0.91899	69.44151	Dubonim	Smarties	50	54	1	y	2	0	916.47
72.02469	0.91899	73.64157	Smarties	Shugi	54	53	0	b	2	0	1116.46
78.02484	0.91899	79.69169	Mentos	DoritosGrill	49	47	0	b	2	0	1169.31
83.02486	0.91899	84.48837	CrunchBisquitWhite2	CrunchBisquitBrown3	12	8	1	y	1	0	958.3
87.0249	0.91899	88.29181	Halva2	ClickBlackWhite3	46	45	0	y	2	1	771.25
90.02494	0.91899	91.22512	ClickBlackWhite3	Cheetos	45	48	1	b	2	1	703.19
93.02495	0.91899	94.35694	ClickXLbrown4	Popco	18	11	1	b	1	1	824.18
97.02504	0.91899	98.14185	ChocolateParaCookies5	Tortit	6	56	1	b	4	1	612.11
110.0262	0.91899	111.3098	Cheetos	CrunchShokoVanil	48	52	0	y	2	1	778.99
114.0267	0.91899	115.2771	CrunchShokoVanil	Halva2	52	46	1	b	2	1	749.45
117.0274	0.91899	118.2443	HispusimShatiah	Popco	10	11	1	b	1	1	717.82
122.0282	0.91899	123.2618	KinderBuenoBrown3	HispusimShatiah	9	10	0	b	1	0	740.97
125.0288	0.91899	126.3589	GumiSnakes3	ClickXLwhite4	7	16	1	y	1	0	826.4
129.0294	0.91899	130.2964	GumiWine2	CrunchShokoVanil	51	52	0	y	2	1	764.76
135.0305	0.91899	136.3924	Halva2	Egozi	46	44	0	y	2	1	861.65
138.031	0.91899	139.2979	ClickXLbrown4	KinderBuenoBrown3	18	9	1	b	1	1	773.19
142.0317	0.91899	143.332	Popco	Hit	11	13	0	y	1	1	798.46
147.0325	0.91899	148.1425	GumiWine2	Egozi	51	44	0	y	2	1	613.62
151.0258	0.91899	152.1669	GumiSnakes3	ChocolateParaMilk3	7	14	1	y	1	0	636.4
163.0259	0.91899	164.2594	Twist	KinderJoy	55	5	0	y	4	1	730.29
169.026	0.91899	170.3428	Hit	ChocolateParaMilk3	13	14	1	y	1	0	819.14
172.0261	0.91899	173.3262	ClickXLbrown4	CrunchBisquitBrown3	18	8	1	b	1	1	800.1
176.0261	0.91899	177.1929	Mentos	Egozi	49	44	0	y	2	1	670.12
179.0262	0.91899	180.2763	Dubonim	Halva2	50	46	1	b	2	1	747.96
182.0262	0.91899	183.4763	CrunchBisquitWhite2	KinderBuenoBrown3	12	9	1	b	1	1	942.99
185.0259	0.91899	186.2431	CrunchBisquitBrown3	Hit	8	13	0	b	1	0	710.21
188.0262	0.91899	189.6764	Mekupelet	Dubonim	43	50	0	b	2	0	1154.98
