onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1521.328	1	1522.346	HispusimShatiah	6	0	1	NaN	NaN
1524.332	1	1525.349	Kitkat	19	0	1	NaN	NaN
1528.319	1	1529.337	Tictac	39	0	0	NaN	NaN
1530.322	1	1531.357	ClickBalls5	15	1	1	716.7327	1041.188
1532.324	1	1533.361	KinderBuenoBrown3	13	1	1	666.7152	1086.852
1536.328	1	1537.349	ChocolateParaMilk3	20	0	1	NaN	NaN
1538.331	1	1539.367	Twist	12	1	1	616.7184	856.1759
1543.32	1	1544.337	Bounty	58	0	0	NaN	NaN
1545.322	1	1546.358	ClickXLbrown4	10	1	1	633.3879	993.0241
1548.325	1	1549.362	BagaleShtuhim	47	1	0	583.4015	909.6124
1551.329	1	1552.364	ClickBisquit2	7	1	1	650.0546	402.2414
1555.316	1	1556.334	DoritosSourSpicy	51	0	0	NaN	NaN
1558.32	1	1559.338	Halva2	48	0	0	NaN	NaN
1560.322	1	1561.34	Shugi	46	0	0	NaN	NaN
1563.325	1	1564.343	Twix	16	0	1	NaN	NaN
1567.33	1	1568.348	GumiWine2	42	0	0	NaN	NaN
1570.316	1	1571.334	ClickXLwhite4	21	0	1	NaN	NaN
1572.319	1	1573.355	ChocolateParaMarir2	44	1	0	600.0477	899.9304
1574.321	1	1575.339	DoritosGrill	55	0	0	NaN	NaN
1579.327	1	1580.345	Hit	8	0	1	NaN	NaN
1583.331	1	1584.349	ChocolateParaSucariotKoftzot2	9	0	1	NaN	NaN
1587.319	1	1588.337	KinderBuenoWhite2	4	0	1	NaN	NaN
1593.326	1	1594.344	DoritosNatural	54	0	0	NaN	NaN
1595.328	1	1596.365	BisliOnion	53	1	0	616.7216	954.8463
1597.33	1	1598.348	ClickBlackWhite3	5	0	1	NaN	NaN
1599.315	1	1600.334	ChocolateParaCookies5	22	0	1	NaN	NaN
1601.318	1	1602.336	Keifli	43	0	0	NaN	NaN
1605.322	1	1606.34	KifkefMaklot2	3	0	1	NaN	NaN
1607.325	1	1608.343	PesekZman	14	0	1	NaN	NaN
1611.329	1	1612.347	CrunchShokoVanil	40	0	0	NaN	NaN
1613.331	1	1614.349	SkittlesSour4	49	0	0	NaN	NaN
1615.317	1	1616.335	BambaSweet	56	0	0	NaN	NaN
1617.319	1	1618.337	BisliPizza3	41	0	0	NaN	NaN
1622.325	1	1623.362	Popco	52	1	0	633.38	885.8517
1624.327	1	1625.363	GumiSnakes3	50	1	0	650.0501	899.5956
1626.329	1	1627.366	SkittlesFruits2	45	1	0	666.7113	881.4066
1629.316	1	1630.334	CrunchBisquitWhite2	17	0	1	NaN	NaN
1636.324	1	1637.342	CrunchBisquitBrown3	11	0	1	NaN	NaN
1640.328	1	1641.365	BambaNugat	18	1	1	666.7087	970.3784
1647.32	1	1648.338	Cheetos	57	0	0	NaN	NaN
