onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.017511	0.91899	3.413894	SkittlesFruits2	HispusimShatiah	43	53	1	b	2	1	893.47
5.016488	0.91899	6.300218	ChocolateParaMarir2	Egozi	17	18	1	b	1	1	782.46
8.016973	0.91899	9.217287	Snickers	ClickXLbrown4	10	8	0	b	1	0	697.97
13.01793	0.91899	14.46822	Kitkat	ClickXLbrown4	12	8	0	b	1	0	953.01
18.01869	0.91899	19.23592	Mekupelet	KashitSour	44	54	0	b	2	0	724.26
25.01996	0.91899	26.27037	ClickXLbrown4	Egozi	8	18	1	b	1	1	754.98
29.02064	0.91899	30.23767	GumiWine2	BisliGrill	45	48	0	y	2	1	721.31
32.02117	0.91899	33.55503	Shugi	SkittlesFruits2	47	43	0	y	2	1	1039.76
39.01433	0.91899	40.2645	HispusimShatiah	BisliOnion	53	51	0	y	2	1	747.62
43.01434	0.91899	44.37346	Apropo	KinderJoy	7	16	0	y	1	1	853.61
46.01443	0.91899	47.29789	WerthersOriginal	Bounty	55	5	0	y	4	1	779.51
50.01449	0.91899	51.1414	Cheetos	Kitkat	14	12	1	y	1	0	622.44
54.0145	0.91899	55.44808	ChocolateParaMarir2	Bamba	17	13	1	y	1	0	929.44
59.01464	0.91899	60.32627	Halva2	Mekupelet	49	44	1	y	2	0	809.3
63.01467	0.91899	64.29806	Apropo	ChocolateParaMarir2	7	17	0	y	1	1	781.28
67.01468	0.91899	68.31483	SkittlesSour4	BisliGrill	50	48	0	y	2	1	801.27
70.01469	0.91899	71.49822	Apropo	CrunchBisquitBrown3	7	9	0	y	1	1	980.24
80.01481	0.91899	81.28169	Twix	Kitkat	11	12	1	b	1	1	773.13
84.01488	0.91899	85.34837	Kitkat	CrunchBisquitBrown3	12	9	0	y	1	1	828.07
87.01494	0.91899	88.41508	BisliGrill	Shugi	48	47	1	b	2	1	900.02
90.015	0.91899	91.16506	Bamba	Twix	13	11	0	y	1	1	647.94
94.01527	0.91899	95.44911	SkittlesSour4	Halva2	50	49	0	b	2	0	940.67
100.0164	0.91899	101.3501	CrunchBisquitBrown3	DoritosSourSpicy	9	15	1	b	1	1	829.53
103.0169	0.91899	104.4506	Shugi	KashitSour	47	54	0	b	2	0	939.06
106.0174	0.91899	107.2012	ClickXLbrown4	DoritosSourSpicy	8	15	1	b	1	1	691.49
110.0181	0.91899	111.4187	BisliGrill	HispusimShatiah	48	53	1	b	2	1	905.8
113.0186	0.91899	114.1822	ChocolateParaMarir2	Snickers	17	10	1	y	1	0	664.3
116.0192	0.91899	117.1696	ClickXLbrown4	Bamba	8	13	1	b	1	1	653.71
130.0216	0.91899	131.422	KinderJoy	Kitkat	16	12	1	y	1	0	909.37
140.0182	0.91899	141.3404	SkittlesFruits2	Mekupelet	43	44	1	y	2	0	824.71
146.0157	0.91899	147.8492	HispusimShatiah	KashitSour	53	54	0	y	2	1	1334.22
150.0182	0.91899	151.3659	BisliBbq	Smarties	52	46	0	y	2	1	845.71
156.0168	0.91899	157.4264	Smarties	Mekupelet	46	44	1	b	2	1	907.17
160.0159	0.91899	161.2494	Smarties	GumiWine2	46	45	1	b	2	1	731.03
166.0164	0.91899	167.3496	HispusimShatiah	Smarties	53	46	0	y	2	1	830.51
178.0177	0.91899	179.3969	KinderJoy	Egozi	16	18	1	b	1	1	877.24
181.0161	0.91899	182.5162	BisliBbq	BisliOnion	52	51	0	b	2	0	995.8
188.0185	0.91899	189.3998	ChocolateParaSucariotKoftzot2	WerthersOriginal	6	55	1	b	4	1	883.46
