onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
903.21	1	904.2279	SkittlesFruits2	40	0	0	NaN	NaN
905.1957	1	906.2305	Mekupelet	18	1	1	783.4102	943.7183
909.2001	1	910.2182	GumiWine2	54	0	0	NaN	NaN
912.2035	1	913.2216	KinderBuenoWhite2	8	0	1	NaN	NaN
914.2057	1	915.2236	Bounty	21	0	1	NaN	NaN
917.209	1	918.2458	Tapuchips	12	1	1	800.0459	762.3592
921.1969	1	922.215	ChocolateParaCookies5	14	0	1	NaN	NaN
925.2014	1	926.2377	BambaSweet	47	1	0	783.4083	961.9871
927.2036	1	928.2217	ClickBalls5	22	0	1	NaN	NaN
932.1926	1	933.2269	HispusimShatiah	44	1	0	800.057	882.7593
934.1945	1	935.2126	KinderBuenoBrown3	4	0	1	NaN	NaN
936.1971	1	937.2156	BisliPizza3	19	0	1	NaN	NaN
942.2038	1	943.2218	Taami	11	0	1	NaN	NaN
944.2061	1	945.224	Loacker	16	0	1	NaN	NaN
946.2084	1	947.2266	Tictac	51	0	0	NaN	NaN
948.194	1	949.2123	Halva2	20	0	1	NaN	NaN
952.1984	1	953.2354	GumiSnakes3	50	1	0	816.7107	1005.101
956.2028	1	957.2208	HappyHippo	17	0	1	NaN	NaN
959.2063	1	960.224	CrunchBisquitBrown3	6	0	1	NaN	NaN
963.1942	1	964.212	CrunchBisquitWhite2	3	0	1	NaN	NaN
966.1974	1	967.2157	Shugi	41	0	0	NaN	NaN
968.1997	1	969.2175	CrunchShokoVanil	49	0	0	NaN	NaN
972.2041	1	973.2222	Bamba	42	0	0	NaN	NaN
974.2065	1	975.2244	Dubonim	48	0	0	NaN	NaN
976.2088	1	977.2268	KifkefMaklot2	58	0	0	NaN	NaN
980.1966	1	981.2321	Egozi	13	1	1	816.7218	1054.81
982.1986	1	983.2182	WerthersOriginal	56	0	0	NaN	NaN
986.2032	1	987.2396	ChocolateParaMarir2	10	1	1	766.7091	944.2289
990.2077	1	991.2422	ClickBlackWhite3	15	1	1	783.3826	931.6811
993.1945	1	994.2126	Keifli	55	0	0	NaN	NaN
999.201	1	1000.219	BisliOnion	9	0	1	NaN	NaN
1001.203	1	1002.24	BabyDoll	52	1	0	766.7197	952.0874
1005.208	1	1006.226	Twist	46	0	0	NaN	NaN
1007.193	1	1008.23	Twix	7	1	1	800.0455	786.3179
1009.196	1	1010.214	Mars	5	0	1	NaN	NaN
1011.198	1	1012.251	DoritosGrill	45	1	0	783.381	917.4832
1016.204	1	1017.222	BisliBbq	43	0	0	NaN	NaN
1018.206	1	1019.243	BambaNugat	53	1	0	800.0502	997.5101
1020.208	1	1021.226	ClickXLwhite4	39	0	0	NaN	NaN
1023.195	1	1024.213	KinderJoy	57	0	0	NaN	NaN
