onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.022679	0.9575	3.6671	Dubonim	CrunchBisquitWhite2	13	9	0	b	1	0	1138.46
6.022709	0.9575	8.022809	BambaSweet	DoritosGrill	54	44	1	x	2	NaN	NaN
13.02281	0.9575	14.50241	Halva2	Bounty	50	49	0	y	2	1	970.34
16.02286	0.9575	17.56949	CrunchBisquitWhite2	SkittlesFruits2	9	18	1	b	1	1	1037.28
21.02289	0.9575	22.8398	PesekZman	Dubonim	11	13	1	y	1	0	1308.25
31.02309	0.9575	32.52325	BabyDoll	Bounty	53	49	0	b	2	0	1004.06
34.02306	0.9575	35.52334	Keifli	SkittlesFruits2	14	18	1	b	1	1	995.08
37.02314	0.9575	38.62341	PesekZman	SkittlesFruits2	11	18	1	y	1	0	1090.99
46.02432	0.9575	47.35806	Keifli	BagaleShtuhim	14	12	1	b	1	1	830.82
49.02476	0.9575	50.95862	Keifli	ChocolateParaMarir2	14	7	1	b	1	1	1436.38
59.02655	0.9575	60.39039	BambaSweet	KashitSour	54	52	1	y	2	0	859.6
64.02745	0.9575	65.6279	DoritosGrill	Smarties	44	46	0	b	2	0	1106.69
69.02829	0.9575	70.55723	Halva2	Hit	50	43	0	y	2	1	1028.86
77.02968	0.9575	78.51343	DoritosGrill	BisliPizza3	44	48	0	y	2	1	981.47
84.03096	0.9575	85.4981	Bamba	ClickXLwhite4	5	55	1	b	4	1	975.18
88.03154	0.9575	89.72415	CrunchBisquitBrown3	Dubonim	8	13	1	y	1	0	1198.58
91.03211	0.9575	92.58266	Apropo	PesekZman	15	11	0	b	1	0	1055.04
96.02393	0.9575	97.72423	ChocolateParaMilk3	Smarties	45	46	0	b	2	0	1192.21
99.02394	0.9575	100.5172	ChocolateParaMilk3	Bounty	45	49	0	b	2	0	989.2
107.0241	0.9575	108.4576	BagaleShtuhim	BisliOnion	12	17	0	b	1	0	928.09
113.0243	0.9575	114.5911	ChocolateParaMarir2	CrunchBisquitWhite2	7	9	0	y	1	1	1069.88
118.0242	0.9575	119.841	CrunchBisquitBrown3	Snickers	8	10	1	y	1	0	1309.97
123.0242	0.9575	124.6215	BisliPizza3	BabyDoll	48	53	1	b	2	1	1088.89
126.0243	0.9575	127.8412	PesekZman	Snickers	11	10	1	y	1	0	1317.82
140.0244	0.9575	141.908	ChocolateParaMilk3	HispusimShatiah	45	51	0	b	2	0	1387.7
143.0246	0.9575	144.6749	ChocolateParaMilk3	Hit	45	43	0	y	2	1	1156.57
147.0252	0.9575	148.2756	BisliPizza3	KashitSour	48	52	1	b	2	1	753.92
151.0259	0.9575	152.8931	Smarties	BabyDoll	46	53	1	b	2	1	1366.22
154.0264	0.9575	155.5935	HispusimShatiah	Twist	51	47	1	y	2	0	1072.73
157.0269	0.9575	158.5772	Bounty	DoritosGrill	49	44	1	y	2	0	1052.26
163.028	0.9575	164.495	BisliPizza3	Halva2	48	50	1	b	2	1	975.16
169.029	0.9575	170.596	Snickers	BisliOnion	10	17	0	y	1	1	1075.11
172.0295	0.9575	173.2919	KashitSour	Hit	52	43	0	y	2	1	759.65
175.0301	0.9575	177.0306	Snickers	CrunchBisquitWhite2	10	9	0	x	1	NaN	NaN
179.0307	0.9575	180.3145	BagaleShtuhim	CrunchBisquitWhite2	12	9	0	b	1	0	790.43
182.0313	0.9575	183.2252	ChocolateParaMarir2	Mars	7	16	0	y	1	1	696.89
185.0318	0.9575	186.1753	Mars	BagaleShtuhim	16	12	1	b	1	1	642.37
188.0323	0.9575	189.1994	Tictac	Bamba	56	5	0	y	4	1	669.82
