onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.022615	0.9575	3.41301	SkittlesFruits2	Keifli	18	14	0	y	1	1	893.88
5.022617	0.9575	6.48016	Keifli	ChocolateParaMarir2	14	7	1	b	1	1	958.87
8.022691	0.9575	9.864017	Apropo	CrunchBisquitBrown3	15	8	0	b	1	0	1338.8
13.02271	0.9575	15.02284	BisliOnion	Snickers	17	10	1	x	1	NaN	NaN
18.02279	0.9575	19.66587	ChocolateParaMilk3	Bounty	45	49	0	b	2	0	1144.7
25.02296	0.9575	26.38978	Dubonim	Keifli	13	14	0	b	1	0	868.53
29.02298	0.9575	30.38442	CrunchBisquitWhite2	Dubonim	9	13	1	y	1	0	859.51
32.023	0.9575	33.38979	Apropo	PesekZman	15	11	0	b	1	0	873.51
39.02313	0.9575	40.40674	Halva2	Hit	50	43	0	y	2	1	888.36
43.02312	0.9575	44.45663	Bounty	Twist	49	47	1	y	2	0	939.37
46.02324	0.9575	47.47348	Hit	Twist	43	47	1	b	2	1	952.25
50.02328	0.9575	51.52355	Hit	ChocolateParaMilk3	43	45	1	b	2	1	1000.21
54.02333	0.9575	56.02366	HispusimShatiah	BabyDoll	51	53	1	x	2	NaN	NaN
59.02339	0.9575	60.30694	Bounty	BabyDoll	49	53	1	y	2	0	786.1
63.02345	0.9575	64.25702	Tictac	DoritosSourSpicy	56	6	0	y	4	1	732.04
67.02386	0.9575	68.24094	BisliPizza3	DoritosGrill	48	44	1	b	2	1	727.63
70.02446	0.9575	71.39142	BagaleShtuhim	Mars	12	16	0	b	1	0	875.03
80.02774	0.9575	81.25988	BisliOnion	Dubonim	17	13	1	b	1	1	745.75
84.02374	0.9575	85.66065	DoritosSourSpicy	ClickXLwhite4	6	55	1	b	4	1	1135.74
87.0238	0.9575	88.7611	HispusimShatiah	ChocolateParaMilk3	51	45	1	y	2	0	1239.68
90.0238	0.9575	91.52839	ChocolateParaMarir2	BisliOnion	7	17	0	y	1	1	1009.68
94.02385	0.9575	95.71252	BabyDoll	BambaSweet	53	54	0	b	2	0	1195.64
100.0239	0.9575	101.3075	Apropo	CrunchBisquitWhite2	15	9	0	b	1	0	782.58
103.024	0.9575	104.6576	KashitSour	Bounty	52	49	0	b	2	0	1137.44
106.024	0.9575	107.341	CrunchBisquitBrown3	BagaleShtuhim	8	12	1	y	1	0	817.45
110.0241	0.9575	111.1816	BisliPizza3	Twist	48	47	1	b	2	1	659.37
113.0241	0.9575	114.5577	ChocolateParaMarir2	CrunchBisquitBrown3	7	8	0	y	1	1	1031.39
116.0242	0.9575	117.6663	SkittlesFruits2	CrunchBisquitBrown3	18	8	0	y	1	1	1147.29
130.0244	0.9575	131.6686	HispusimShatiah	DoritosGrill	51	44	1	y	2	0	1146.12
140.0245	0.9575	141.608	ChocolateParaMilk3	BambaSweet	45	54	0	b	2	0	1091.96
146.0245	0.9575	147.2415	Bounty	DoritosGrill	49	44	1	y	2	0	722.95
150.0246	0.9575	151.5248	CrunchBisquitWhite2	SkittlesFruits2	9	18	1	b	1	1	1007.9
156.0247	0.9575	157.2416	BabyDoll	Hit	53	43	0	y	2	1	720.74
160.0247	0.9575	161.5582	Snickers	PesekZman	10	11	0	b	1	0	1037.75
166.0248	0.9575	167.4417	CrunchBisquitBrown3	Snickers	8	10	1	b	1	1	915.67
178.029	0.9575	179.3937	DoritosGrill	Smarties	44	46	0	b	2	0	880.48
181.025	0.9575	182.2607	Dubonim	CrunchBisquitBrown3	13	8	0	b	1	0	741.47
188.0252	0.9575	189.5454	BisliPizza3	Halva2	48	50	1	b	2	1	1028.31
