onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
767.8641	1	768.8819	Tortit	55	0	0	NaN	NaN
770.8505	1	771.8686	CrunchShokoVanil	49	0	0	NaN	NaN
772.853	1	773.8708	GumiWine2	51	0	0	NaN	NaN
774.8554	1	775.8731	KashitSour	58	0	0	NaN	NaN
776.8574	1	777.8753	PesekZman	4	0	1	NaN	NaN
779.8608	1	780.8964	ClickXLbrown4	12	1	1	750.0639	989.912
781.8631	1	782.8809	HispusimShatiah	48	0	0	NaN	NaN
785.8506	1	786.8687	ChocolateParaMarir2	40	0	0	NaN	NaN
787.8531	1	788.8709	CrunchBisquitWhite2	5	0	1	NaN	NaN
792.8588	1	793.8932	Tictac	52	1	0	750.0628	935.9297
794.861	1	795.8789	Kitkat	9	0	1	NaN	NaN
798.8656	1	799.8833	BisliOnion	11	0	1	NaN	NaN
800.8507	1	801.8857	Dubonim	15	1	1	766.7115	1024.128
803.8545	1	804.8903	BambaSweet	47	1	0	766.7894	940.2439
808.86	1	809.8953	Halva2	45	1	0	783.3791	958.6923
810.8623	1	811.8801	ChocolateParaSucariotKoftzot2	3	0	1	NaN	NaN
812.8645	1	813.8823	Hit	39	0	0	NaN	NaN
816.8524	1	817.8701	BambaNugat	21	0	1	NaN	NaN
820.8569	1	821.8913	Cheetos	13	1	1	716.7219	905.831
824.8613	1	825.8792	ChocolateParaCookies5	8	0	1	NaN	NaN
826.8635	1	827.8813	BabyDoll	57	0	0	NaN	NaN
828.8658	1	829.9013	Twist	50	1	0	800.0577	1104.909
830.8514	1	831.8691	GumiSnakes3	54	0	0	NaN	NaN
832.8536	1	833.8714	BagaleShtuhim	46	0	0	NaN	NaN
838.8604	1	839.8781	ClickBlackWhite3	16	0	1	NaN	NaN
841.8637	1	842.8815	BisliGrill	20	0	1	NaN	NaN
843.8659	1	844.9021	CrunchBisquitBrown3	18	1	1	733.383	1280.789
845.8513	1	846.8693	BisliBbq	17	0	1	NaN	NaN
848.8548	1	849.8728	Snickers	14	0	1	NaN	NaN
850.8571	1	851.8749	Taami	22	0	1	NaN	NaN
852.8595	1	853.8772	Popco	42	0	0	NaN	NaN
854.8616	1	855.8957	Mentos	53	1	0	750.0542	917.0677
857.8651	1	858.8997	WerthersOriginal	44	1	0	766.716	961.5962
859.8672	1	860.9015	ClickXLwhite4	10	1	1	683.3817	879.4454
861.8528	1	862.8706	DoritosSourSpicy	56	0	0	NaN	NaN
863.855	1	864.8729	ClickBalls5	19	0	1	NaN	NaN
865.8573	1	866.875	Bamba	43	0	0	NaN	NaN
871.864	1	872.8819	DoritosNatural	41	0	0	NaN	NaN
874.8674	1	875.8853	Bounty	6	0	1	NaN	NaN
878.8552	1	879.8904	ChocolateParaMilk3	7	1	1	700.0406	907.5433
