onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1051.545	1	1052.581	DoritosGrill	47	1	0	783.4029	810.4138
1056.533	1	1057.551	KinderJoy	5	0	1	NaN	NaN
1058.536	1	1059.572	KinderBuenoWhite2	15	1	1	850.0647	875.304
1060.538	1	1061.556	GumiWine2	51	0	0	NaN	NaN
1066.545	1	1067.563	ClickBisquit2	4	0	1	NaN	NaN
1068.547	1	1069.565	Bounty	58	0	0	NaN	NaN
1071.534	1	1072.552	Halva2	46	0	0	NaN	NaN
1073.536	1	1074.572	Dubonim	50	1	0	800.0567	891.1932
1077.54	1	1078.575	CrunchShokoVanil	52	1	0	816.7118	894.6355
1079.543	1	1080.561	Twist	55	0	0	NaN	NaN
1084.548	1	1085.566	Twix	39	0	0	NaN	NaN
1091.54	1	1092.557	Mars	41	0	0	NaN	NaN
1093.542	1	1094.578	ClickXLbrown4	18	1	1	866.7131	757.2822
1096.545	1	1097.563	Tapuchips	42	0	0	NaN	NaN
1099.549	1	1100.566	Loacker	3	0	1	NaN	NaN
1103.536	1	1104.571	GumiSnakes3	7	1	1	883.3829	938.702
1107.541	1	1108.559	Apropo	40	0	0	NaN	NaN
1111.545	1	1112.563	Cheetos	48	0	0	NaN	NaN
1114.549	1	1115.567	Snickers	19	0	1	NaN	NaN
1120.539	1	1121.557	KinderBuenoBrown3	9	0	1	NaN	NaN
1122.541	1	1123.559	KifkefMaklot2	22	0	1	NaN	NaN
1125.544	1	1126.562	BisliOnion	17	0	1	NaN	NaN
1127.547	1	1128.581	Shugi	53	1	0	833.3742	936.4928
1129.549	1	1130.567	Mentos	49	0	0	NaN	NaN
1131.534	1	1132.552	Smarties	54	0	0	NaN	NaN
1134.538	1	1135.556	ChocolateParaCookies5	6	0	1	NaN	NaN
1138.542	1	1139.58	Egozi	44	1	0	850.0496	1124.839
1140.545	1	1141.58	Hit	13	1	1	900.0542	882.5562
1142.547	1	1143.565	SkittlesFruits2	20	0	1	NaN	NaN
1144.549	1	1145.583	HispusimShatiah	10	1	1	916.7142	862.0802
1146.535	1	1147.552	Tortit	56	0	0	NaN	NaN
1148.537	1	1149.555	Popco	11	0	1	NaN	NaN
1152.542	1	1153.559	ChocolateParaMilk3	14	0	1	NaN	NaN
1156.546	1	1157.564	ClickXLwhite4	16	0	1	NaN	NaN
1158.548	1	1159.584	ClickBlackWhite3	45	1	0	800.0426	975.0992
1160.534	1	1161.552	Mekupelet	43	0	0	NaN	NaN
1162.536	1	1163.572	CrunchBisquitWhite2	12	1	1	916.7403	875.2173
1164.538	1	1165.556	BabyDoll	57	0	0	NaN	NaN
1170.545	1	1171.563	CrunchBisquitBrown3	8	0	1	NaN	NaN
1172.547	1	1173.565	BambaNugat	21	0	1	NaN	NaN
