onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.023216	0.9575	3.257042	BambaNugat	KinderBuenoBrown3	12	16	0	b	1	0	727.98
6.023962	0.9575	7.666534	BabyDoll	BagaleShtuhim	46	44	1	b	2	1	1134.25
13.02513	0.9575	14.51655	ClickBlackWhite3	HispusimShatiah	5	55	1	b	4	1	984.07
16.02567	0.9575	18.02617	KashitSour	Apropo	45	54	0	x	2	NaN	NaN
21.02662	0.9575	22.44999	KinderBuenoWhite2	KinderBuenoBrown3	15	16	0	b	1	0	922.58
31.02827	0.9575	32.35029	ClickBisquit2	SkittlesSour4	9	18	1	b	1	1	822.94
34.02889	0.9575	35.61695	BisliPizza3	BisliGrill	52	49	0	y	2	1	1095.32
37.02939	0.9575	38.38372	Popco	ClickBisquit2	13	9	0	y	1	1	852.81
46.03101	0.9575	47.71722	ClickBisquit2	BambaNugat	9	12	1	y	1	0	1186.19
49.03153	0.9575	50.40055	KinderBuenoWhite2	ChocolateParaMarir2	15	11	0	b	1	0	879.67
59.01683	0.9575	60.45055	Bounty	KinderBuenoBrown3	10	16	0	b	1	0	923.37
64.01762	0.9575	65.60129	Tapuchips	Apropo	47	54	0	b	2	0	1072.58
69.01841	0.9575	70.51877	BagaleShtuhim	BisliGrill	44	49	0	y	2	1	997.78
77.01976	0.9575	78.51755	Apropo	Dubonim	54	53	1	y	2	0	985.44
84.02095	0.9575	85.48809	Bounty	CrunchBisquitWhite2	10	8	0	b	1	0	964.3
88.02162	0.9575	89.68886	Tapuchips	BabyDoll	47	46	0	b	2	0	1157.59
91.02213	0.9575	92.33437	BagaleShtuhim	Apropo	44	54	0	y	2	1	806.08
96.02305	0.9575	97.39002	SkittlesSour4	Kitkat	18	17	0	y	1	1	860.16
99.0236	0.9575	100.3907	ChocolateParaMarir2	ClickBalls5	11	7	1	y	1	0	867.61
107.025	0.9575	108.5512	Kitkat	Bounty	17	10	1	b	1	1	1021.31
113.026	0.9575	114.318	BisliOnion	BagaleShtuhim	51	44	1	y	2	0	792.25
118.0268	0.9575	119.8347	Apropo	BisliPizza3	54	52	1	y	2	0	1309.37
123.0277	0.9575	124.2516	BambaNugat	ChocolateParaMarir2	12	11	0	b	1	0	728.52
126.0282	0.9575	127.8514	Popco	CrunchBisquitWhite2	13	8	0	y	1	1	1325.98
140.0307	0.9575	142.0311	Shugi	Tapuchips	43	47	1	x	2	NaN	NaN
143.0312	0.9575	144.265	BagaleShtuhim	Shugi	44	43	0	y	2	1	732.96
147.0319	0.9575	148.3656	Tictac	KashitSour	48	45	1	y	2	0	833.33
151.0325	0.9575	152.0852	Shugi	BisliPizza3	43	52	1	b	2	1	565.67
154.0184	0.9575	155.3352	ClickBlackWhite3	Keifli	5	56	1	b	4	1	815.85
157.0185	0.9575	158.2853	Kitkat	BambaNugat	17	12	1	y	1	0	758.71
163.0185	0.9575	164.7521	BisliOnion	KashitSour	51	45	1	b	2	1	1233.75
169.0191	0.9575	170.7028	KinderBuenoWhite2	Kitkat	15	17	0	y	1	1	1179.09
172.0196	0.9575	173.5367	Dubonim	Shugi	53	43	0	b	2	0	1007.61
175.0201	0.9575	176.3873	SkittlesFruits2	Popco	14	13	1	y	1	0	858.13
179.0208	0.9575	180.5044	Dubonim	Tictac	53	48	0	b	2	0	975.45
182.0227	0.9575	183.605	CrunchBisquitWhite2	SkittlesSour4	8	18	1	b	1	1	1083.47
185.0219	0.9575	186.5389	Kitkat	ClickBalls5	17	7	1	y	1	0	1018.32
188.0224	0.9575	189.9063	Shugi	GumiSnakes3	43	50	1	y	2	0	1373.84
