onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1527.063	1	1528.081	BisliBbq	20	0	1	NaN	NaN
1529.065	1	1530.1	KinderJoy	16	1	1	550.0599	938.0072
1533.053	1	1534.09	Egozi	14	1	1	566.7127	1086.186
1536.056	1	1537.075	Keifli	42	0	0	NaN	NaN
1538.059	1	1539.076	Halva2	56	0	0	NaN	NaN
1541.062	1	1542.099	Apropo	11	1	1	516.7121	1045.157
1545.049	1	1546.069	Loacker	19	0	1	NaN	NaN
1549.054	1	1550.089	Tictac	46	1	0	483.3975	925.1421
1551.057	1	1552.075	Tortit	12	0	1	NaN	NaN
1556.062	1	1557.099	Bounty	17	1	1	466.7182	853.0495
1558.064	1	1559.082	Kitkat	22	0	1	NaN	NaN
1560.05	1	1561.068	Mekupelet	45	0	0	NaN	NaN
1566.057	1	1567.075	Twix	7	0	1	NaN	NaN
1568.059	1	1569.077	Bamba	58	0	0	NaN	NaN
1570.061	1	1571.079	Shugi	50	0	0	NaN	NaN
1572.063	1	1573.1	WerthersOriginal	51	1	0	500.0505	883.7334
1576.051	1	1577.069	CrunchBisquitBrown3	3	0	1	NaN	NaN
1580.056	1	1581.074	ClickXLwhite4	10	0	1	NaN	NaN
1583.059	1	1584.096	GumiWine2	9	1	1	483.3767	1311.954
1587.064	1	1588.083	BambaSweet	4	0	1	NaN	NaN
1590.05	1	1591.068	BambaNugat	6	0	1	NaN	NaN
1592.053	1	1593.07	BisliOnion	15	0	1	NaN	NaN
1596.057	1	1597.075	DoritosNatural	41	0	0	NaN	NaN
1598.059	1	1599.077	Snickers	44	0	0	NaN	NaN
1600.062	1	1601.096	HispusimShatiah	54	1	0	516.7153	1061.591
1604.066	1	1605.084	PesekZman	18	0	1	NaN	NaN
1606.051	1	1607.069	KifkefMaklot2	57	0	0	NaN	NaN
1610.056	1	1611.092	ClickBisquit2	48	1	0	466.7181	835.0987
1614.061	1	1615.078	BisliPizza3	21	0	1	NaN	NaN
1617.064	1	1618.082	ChocolateParaSucariotKoftzot2	5	0	1	NaN	NaN
1623.054	1	1624.072	KinderBuenoWhite2	53	0	0	NaN	NaN
1625.056	1	1626.092	KinderBuenoBrown3	49	1	0	483.3845	898.8658
1629.061	1	1630.079	HappyHippo	52	0	0	NaN	NaN
1631.063	1	1632.081	BabyDoll	47	0	0	NaN	NaN
1633.065	1	1634.101	Smarties	43	1	0	500.076	977.8973
1635.05	1	1636.069	BisliGrill	39	0	0	NaN	NaN
1640.056	1	1641.074	Hit	40	0	0	NaN	NaN
1642.059	1	1643.076	ChocolateParaCookies5	13	0	1	NaN	NaN
1644.061	1	1645.097	Tapuchips	8	1	1	433.395	902.3252
1647.064	1	1648.082	Twist	55	0	0	NaN	NaN
