onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
519.4009	1	520.4199	SkittlesFruits2	3	0	1	NaN	NaN
522.4041	1	523.4222	BabyDoll	44	0	0	NaN	NaN
524.3896	1	525.4264	KinderBuenoWhite2	8	1	1	616.735	879.5203
526.3923	1	527.4099	HispusimShatiah	15	0	1	NaN	NaN
528.3945	1	529.4296	Keifli	54	1	0	616.7267	937.327
531.3977	1	532.4323	ChocolateParaCookies5	11	1	1	633.3759	971.7236
533.4001	1	534.4357	ClickXLbrown4	17	1	1	650.0444	944.5378
537.4045	1	538.4389	Tapuchips	43	1	0	633.3797	890.1621
539.3897	1	540.408	Snickers	19	0	1	NaN	NaN
544.3958	1	545.4148	Dubonim	55	0	0	NaN	NaN
546.3979	1	547.4164	Cheetos	45	0	0	NaN	NaN
550.4023	1	551.4209	Mentos	47	0	0	NaN	NaN
552.4047	1	553.4228	Shugi	10	0	1	NaN	NaN
555.3913	1	556.4099	DoritosNatural	50	0	0	NaN	NaN
560.397	1	561.4154	ClickXLwhite4	20	0	1	NaN	NaN
562.3991	1	563.417	Kitkat	12	0	1	NaN	NaN
564.4015	1	565.4192	ChocolateParaSucariotKoftzot2	4	0	1	NaN	NaN
568.4059	1	569.4403	KinderBuenoBrown3	16	1	1	666.7281	1027.742
572.3937	1	573.4114	GumiWine2	21	0	1	NaN	NaN
576.3982	1	577.4351	Twist	48	1	0	650.0471	998.4019
578.4005	1	579.4183	Tictac	13	0	1	NaN	NaN
580.4027	1	581.4203	Loacker	41	0	0	NaN	NaN
582.4049	1	583.4229	Taami	7	0	1	NaN	NaN
584.3905	1	585.4083	Egozi	53	0	0	NaN	NaN
590.3971	1	591.4151	Tortit	57	0	0	NaN	NaN
593.4005	1	594.4183	Bamba	42	0	0	NaN	NaN
595.4028	1	596.4205	Apropo	39	0	0	NaN	NaN
597.4051	1	598.4415	BambaNugat	9	1	1	616.7089	879.8844
600.3918	1	601.4096	DoritosGrill	52	0	0	NaN	NaN
602.394	1	603.4119	BambaSweet	58	0	0	NaN	NaN
604.3962	1	605.4142	Mars	5	0	1	NaN	NaN
606.3984	1	607.4162	BisliBbq	56	0	0	NaN	NaN
609.4018	1	610.4201	CrunchShokoVanil	40	0	0	NaN	NaN
611.4041	1	612.4402	Hit	49	1	0	666.7191	969.0324
613.3894	1	614.4076	KashitSour	18	0	1	NaN	NaN
615.3919	1	616.4285	BisliGrill	46	1	0	683.3767	918.8835
617.3942	1	618.4118	WerthersOriginal	22	0	1	NaN	NaN
623.4009	1	624.4187	CrunchBisquitBrown3	6	0	1	NaN	NaN
626.4043	1	627.4402	BisliOnion	51	1	0	700.0465	1032.051
630.3922	1	631.4286	Bounty	14	1	1	633.3841	906.8252
