onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1286.496	1	1287.513	GumiWine2	51	0	0	NaN	NaN
1289.482	1	1290.5	CrunchBisquitWhite2	5	0	1	NaN	NaN
1291.484	1	1292.502	KashitSour	58	0	0	NaN	NaN
1293.487	1	1294.521	ClickXLwhite4	10	1	1	816.7368	1012.114
1295.489	1	1296.507	Snickers	14	0	1	NaN	NaN
1298.492	1	1299.51	BambaNugat	21	0	1	NaN	NaN
1300.494	1	1301.529	Dubonim	15	1	1	766.7223	948.2323
1304.482	1	1305.517	BambaSweet	47	1	0	816.7366	840.582
1306.485	1	1307.52	Cheetos	13	1	1	783.3871	934.0656
1311.49	1	1312.508	BabyDoll	57	0	0	NaN	NaN
1313.492	1	1314.51	Popco	42	0	0	NaN	NaN
1317.497	1	1318.515	Taami	22	0	1	NaN	NaN
1319.482	1	1320.5	BisliGrill	20	0	1	NaN	NaN
1322.486	1	1323.504	ChocolateParaCookies5	8	0	1	NaN	NaN
1327.492	1	1328.509	Bamba	43	0	0	NaN	NaN
1329.494	1	1330.529	ClickXLbrown4	12	1	1	800.0497	932.9455
1331.496	1	1332.531	Mentos	53	1	0	833.3826	730.8111
1335.484	1	1336.518	Tictac	52	1	0	850.0447	790.9076
1339.488	1	1340.524	ChocolateParaMilk3	7	1	1	816.7225	978.3831
1343.493	1	1344.511	ChocolateParaMarir2	40	0	0	NaN	NaN
1345.495	1	1346.529	Twist	50	1	0	866.7246	1027.572
1347.497	1	1348.515	DoritosSourSpicy	56	0	0	NaN	NaN
1349.483	1	1350.519	WerthersOriginal	44	1	0	816.7192	951.8565
1351.485	1	1352.503	HispusimShatiah	48	0	0	NaN	NaN
1357.492	1	1358.51	ClickBlackWhite3	16	0	1	NaN	NaN
1360.495	1	1361.513	GumiSnakes3	54	0	0	NaN	NaN
1362.497	1	1363.515	ClickBalls5	19	0	1	NaN	NaN
1364.483	1	1365.501	BisliBbq	17	0	1	NaN	NaN
1367.486	1	1368.504	Bounty	6	0	1	NaN	NaN
1369.489	1	1370.506	BagaleShtuhim	46	0	0	NaN	NaN
1371.491	1	1372.509	DoritosNatural	41	0	0	NaN	NaN
1373.493	1	1374.511	Tortit	55	0	0	NaN	NaN
1376.496	1	1377.514	ChocolateParaSucariotKoftzot2	3	0	1	NaN	NaN
1378.499	1	1379.516	PesekZman	4	0	1	NaN	NaN
1380.484	1	1381.519	CrunchBisquitBrown3	18	1	1	833.3771	1006.551
1382.486	1	1383.521	Halva2	45	1	0	833.38	724.2248
1384.489	1	1385.507	BisliOnion	11	0	1	NaN	NaN
1390.496	1	1391.513	Hit	39	0	0	NaN	NaN
1393.499	1	1394.517	CrunchShokoVanil	49	0	0	NaN	NaN
1397.487	1	1398.504	Kitkat	9	0	1	NaN	NaN
