onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1125.896	1	1126.914	Twix	7	0	1	NaN	NaN
1127.898	1	1128.933	Tapuchips	8	1	1	516.7593	808.6482
1131.903	1	1132.921	Tortit	12	0	1	NaN	NaN
1134.89	1	1135.907	PesekZman	18	0	1	NaN	NaN
1136.892	1	1137.927	Apropo	11	1	1	533.3897	823.1787
1139.895	1	1140.913	Bamba	58	0	0	NaN	NaN
1143.9	1	1144.917	Snickers	44	0	0	NaN	NaN
1147.904	1	1148.939	KinderBuenoBrown3	49	1	0	583.3928	1019.07
1149.89	1	1150.908	DoritosNatural	41	0	0	NaN	NaN
1154.895	1	1155.932	Egozi	14	1	1	550.0497	867.7629
1156.898	1	1157.916	BisliGrill	39	0	0	NaN	NaN
1158.9	1	1159.918	BisliOnion	15	0	1	NaN	NaN
1164.89	1	1165.908	Hit	40	0	0	NaN	NaN
1166.892	1	1167.927	KinderJoy	16	1	1	566.7173	870.9761
1168.895	1	1169.931	HispusimShatiah	54	1	0	533.3875	868.5986
1170.897	1	1171.914	BisliBbq	20	0	1	NaN	NaN
1174.901	1	1175.919	KinderBuenoWhite2	53	0	0	NaN	NaN
1178.889	1	1179.907	Keifli	42	0	0	NaN	NaN
1181.893	1	1182.91	ChocolateParaCookies5	13	0	1	NaN	NaN
1185.897	1	1186.933	ClickBisquit2	48	1	0	550.0494	882.3158
1188.9	1	1189.935	Bounty	17	1	1	583.459	1030.916
1190.902	1	1191.92	CrunchBisquitBrown3	3	0	1	NaN	NaN
1194.89	1	1195.925	Tictac	46	1	0	566.7113	952.8327
1196.893	1	1197.91	Loacker	19	0	1	NaN	NaN
1198.895	1	1199.913	BisliPizza3	21	0	1	NaN	NaN
1202.899	1	1203.917	Kitkat	22	0	1	NaN	NaN
1204.902	1	1205.936	WerthersOriginal	51	1	0	583.3815	981.6211
1208.889	1	1209.907	BambaNugat	6	0	1	NaN	NaN
1212.894	1	1213.912	ChocolateParaSucariotKoftzot2	5	0	1	NaN	NaN
1215.897	1	1216.933	Smarties	43	1	0	600.0558	858.0436
1221.887	1	1222.905	Mekupelet	45	0	0	NaN	NaN
1223.889	1	1224.907	BambaSweet	4	0	1	NaN	NaN
1227.894	1	1228.928	GumiWine2	9	1	1	533.3844	797.2221
1229.896	1	1230.914	Halva2	56	0	0	NaN	NaN
1231.898	1	1232.916	HappyHippo	52	0	0	NaN	NaN
1233.901	1	1234.918	Twist	55	0	0	NaN	NaN
1238.89	1	1239.908	KifkefMaklot2	57	0	0	NaN	NaN
1240.892	1	1241.91	ClickXLwhite4	10	0	1	NaN	NaN
1242.894	1	1243.912	Shugi	50	0	0	NaN	NaN
1245.898	1	1246.915	BabyDoll	47	0	0	NaN	NaN
