onset	duration	fixation_onset	item_name	item_rank	is_one
4.03492	2	2.033962	Shugi.	46	1
13.036127	2	11.035702	Twist.	56	1
22.030827	2	20.030603	Keifli.	3	0
31.031028	2	29.030746	Kitkat.	21	1
40.030973	2	38.030845	WerthersOriginal.	18	0
49.031057	2	47.031047	ChocolateParaMilk3.	12	1
58.031189	2	56.031005	BabyDoll.	47	0
67.031485	2	65.031141	Cheetos.	14	0
76.031402	2	74.031334	Loacker.	5	0
85.03208	2	83.031451	Popco.	17	0
94.036321	2	92.033017	KinderJoy.	41	1
103.034989	2	101.034539	BisliOnion.	44	0
112.031961	2	110.031736	Mars.	42	1
121.032105	2	119.031839	DoritosGrill.	50	0
130.032168	2	128.031875	BisliBbq.	57	0
139.032242	2	137.032056	ClickXLbrown4.	19	1
148.032389	2	146.032079	ClickBisquit2.	8	0
157.032389	2	155.032239	DoritosSourSpicy.	53	0
166.032626	2	164.032294	HispusimShatiah.	16	0
175.032698	2	173.032488	CrunchBisquitBrown3.	7	1
184.032648	2	182.032545	Bounty.	9	1
193.033926	2	191.033381	Mentos.	48	0
202.037537	2	200.037141	SkittlesFruits2.	55	0
211.033102	2	209.032823	Smarties.	11	0
220.033152	2	218.032939	BagaleShtuhim.	39	0
229.033178	2	227.033054	ClickBalls5.	20	0
238.033326	2	236.033144	BisliPizza3.	10	0
247.033368	2	245.033248	ChocolateParaSucariotKoftzot2.	40	1
256.033443	2	254.033348	GumiWine2.	45	0
265.033606	2	263.033369	SkittlesSour4.	58	0
274.033747	2	272.033568	Taami.	54	1
283.033752	2	281.03362	Tapuchips.	43	0
292.034237	2	290.033721	ChocolateParaCookies5.	15	1
301.035734	2	299.035314	CrunchBisquitWhite2.	6	1
310.037559	2	308.036978	ClickXLwhite4.	13	1
319.034129	2	317.03406	DoritosNatural.	51	0
328.034461	2	326.034195	ClickBlackWhite3.	4	0
337.034387	2	335.034261	Apropo.	22	0
346.034544	2	344.034345	Halva2.	49	1
355.034596	2	353.034402	ChocolateParaMarir2.	52	1
