onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
862.521	1	863.5556	DoritosSourSpicy	45	1	0	750.0598	937.7898
865.5242	1	866.5589	BisliBbq	52	1	0	766.7093	934.5617
867.5266	1	868.5443	PesekZman	43	0	0	NaN	NaN
869.512	1	870.53	BagaleShtuhim	39	0	0	NaN	NaN
871.5142	1	872.549	HispusimShatiah	50	1	0	783.3833	1032.6
874.5178	1	875.5374	Taami	16	0	1	NaN	NaN
876.5199	1	877.538	Mekupelet	11	0	1	NaN	NaN
880.5244	1	881.5423	KinderBuenoWhite2	6	0	1	NaN	NaN
882.5097	1	883.5458	KifkefMaklot2	18	1	1	816.7375	1037.085
887.5156	1	888.5348	BambaSweet	46	0	0	NaN	NaN
889.5179	1	890.5357	ChocolateParaCookies5	21	0	1	NaN	NaN
893.5224	1	894.5401	SkittlesFruits2	22	0	1	NaN	NaN
895.5246	1	896.5425	Loacker	40	0	0	NaN	NaN
898.5109	1	899.529	CrunchBisquitBrown3	20	0	1	NaN	NaN
903.5169	1	904.535	KashitSour	19	0	1	NaN	NaN
905.5192	1	906.5535	Tictac	44	1	0	733.4086	915.6266
907.5213	1	908.5561	Egozi	15	1	1	766.7135	985.4986
911.5258	1	912.5436	ChocolateParaMarir2	57	0	0	NaN	NaN
915.5137	1	916.532	BabyDoll	51	0	0	NaN	NaN
919.5182	1	920.5361	ClickBlackWhite3	14	0	1	NaN	NaN
921.5204	1	922.5549	DoritosGrill	47	1	0	750.0472	778.4246
923.5227	1	924.5403	Bounty	3	0	1	NaN	NaN
925.5249	1	926.543	BisliOnion	48	0	0	NaN	NaN
927.5102	1	928.5453	CrunchShokoVanil	10	1	1	783.3773	956.6086
933.5172	1	934.5352	Popco	58	0	0	NaN	NaN
936.5206	1	937.5384	HappyHippo	9	0	1	NaN	NaN
938.5228	1	939.5408	BambaNugat	8	0	1	NaN	NaN
940.5251	1	941.5431	Apropo	42	0	0	NaN	NaN
943.5118	1	944.5298	SkittlesSour4	5	0	1	NaN	NaN
945.5139	1	946.5319	GumiSnakes3	56	0	0	NaN	NaN
947.5162	1	948.5507	KinderBuenoBrown3	7	1	1	800.0505	1046.612
949.5185	1	950.5546	Shugi	12	1	1	750.0419	732.2754
952.5219	1	953.5397	Keifli	54	0	0	NaN	NaN
954.5241	1	955.5418	Tortit	41	0	0	NaN	NaN
956.5264	1	957.5448	ClickXLbrown4	17	0	1	NaN	NaN
958.512	1	959.5299	Twix	4	0	1	NaN	NaN
960.5142	1	961.5494	Twist	53	1	0	766.7096	1000.686
966.5209	1	967.5386	Halva2	55	0	0	NaN	NaN
969.5243	1	970.5421	Cheetos	49	0	0	NaN	NaN
973.512	1	974.5485	KinderJoy	13	1	1	766.7129	938.8034
