onset	duration	fixation_onset	item_name	item_rank	is_one
4.023524	2	2.038882	Smarties.	45	0
13.024287	2	11.02374	BisliPizza3.	40	0
22.025862	2	20.02534	DoritosSourSpicy.	15	0
31.027475	2	29.02695	Loacker.	5	0
40.029008	2	38.02851	WerthersOriginal.	4	0
49.020383	2	47.030135	Hit.	13	0
58.020579	2	56.020391	BambaNugat.	55	0
67.020608	2	65.020519	KifkefMaklot2.	57	0
76.020698	2	74.020678	CrunchBisquitWhite2.	9	1
85.020862	2	83.020743	SkittlesSour4.	44	0
94.021806	2	92.021227	DoritosGrill.	17	0
103.02334	2	101.022835	GumiSnakes3.	49	0
112.024867	2	110.024367	BabyDoll.	58	0
121.026384	2	119.025969	KinderBuenoWhite2.	7	1
130.027988	2	128.027526	ChocolateParaMarir2.	51	1
139.029674	2	137.029076	Twist.	48	1
148.021777	2	146.030586	Snickers.	20	1
157.021748	2	155.021549	CrunchShokoVanil.	52	1
166.02188	2	164.021792	Popco.	12	0
175.02194	2	173.021858	KashitSour.	42	0
184.02225	2	182.021881	ClickXLwhite4.	11	1
193.022162	2	191.022066	Bounty.	10	1
202.023833	2	200.023318	Cheetos.	21	0
211.025352	2	209.024777	KinderBuenoBrown3.	3	1
220.027018	2	218.02641	Kitkat.	8	1
229.02842	2	227.027899	ChocolateParaMilk3.	56	1
238.030014	2	236.029524	BisliBbq.	19	0
247.022791	2	245.022703	Apropo.	6	0
256.022866	2	254.022781	BambaSweet.	50	0
265.023074	2	263.022808	Tictac.	41	0
274.023053	2	272.022902	HappyHippo.	18	1
283.023241	2	281.023065	KinderJoy.	46	1
292.023318	2	290.023188	Taami.	54	1
301.024099	2	299.023628	GumiWine2.	53	0
310.025637	2	308.025155	Mekupelet.	39	1
319.027274	2	317.026765	ChocolateParaCookies5.	14	1
328.028873	2	326.028365	Shugi.	43	1
337.030302	2	335.029907	HispusimShatiah.	47	0
346.023888	2	344.023752	BisliGrill.	22	0
355.024018	2	353.023862	CrunchBisquitBrown3.	16	1
