onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
2117.667	1	2118.685	PesekZman	20	0	1	NaN	NaN
2120.671	1	2121.705	BisliOnion	18	1	1	916.741	535.1743
2122.673	1	2123.708	Smarties	50	1	0	916.7436	658.0037
2124.658	1	2125.676	BambaSweet	43	0	0	NaN	NaN
2126.661	1	2127.698	Taami	52	1	0	916.7239	732.7828
2129.664	1	2130.699	Bamba	7	1	1	916.7236	517.1943
2131.666	1	2132.704	HappyHippo	12	1	1	916.7138	577.4827
2135.671	1	2136.689	ClickBalls5	41	0	0	NaN	NaN
2137.673	1	2138.709	Apropo	10	1	1	916.7109	645.9171
2142.662	1	2143.7	WerthersOriginal	13	1	1	916.7229	482.2604
2144.664	1	2145.682	Tortit	48	0	0	NaN	NaN
2148.669	1	2149.687	Tapuchips	51	0	0	NaN	NaN
2150.671	1	2151.689	GumiWine2	58	0	0	NaN	NaN
2153.657	1	2154.676	BisliBbq	11	0	1	NaN	NaN
2158.663	1	2159.681	CrunchBisquitWhite2	19	0	1	NaN	NaN
2160.666	1	2161.683	ChocolateParaCookies5	3	0	1	NaN	NaN
2162.668	1	2163.686	Twist	55	0	0	NaN	NaN
2166.672	1	2167.69	HispusimShatiah	56	0	0	NaN	NaN
2170.66	1	2171.678	Cheetos	4	0	1	NaN	NaN
2174.665	1	2175.682	SkittlesFruits2	21	0	1	NaN	NaN
2176.667	1	2177.685	Twix	22	0	1	NaN	NaN
2178.669	1	2179.687	Hit	46	0	0	NaN	NaN
2180.671	1	2181.689	DoritosGrill	16	0	1	NaN	NaN
2182.674	1	2183.711	ClickXLwhite4	45	1	0	916.7169	722.642
2188.664	1	2189.681	BisliGrill	8	0	1	NaN	NaN
2191.667	1	2192.685	Kitkat	9	0	1	NaN	NaN
2193.669	1	2194.706	SkittlesSour4	15	1	1	916.722	1239.951
2195.671	1	2196.689	KinderJoy	40	0	0	NaN	NaN
2198.658	1	2199.676	KinderBuenoWhite2	5	0	1	NaN	NaN
2200.66	1	2201.678	BisliPizza3	14	0	1	NaN	NaN
2202.663	1	2203.699	Bounty	53	1	0	916.7205	559.5059
2204.665	1	2205.702	Egozi	47	1	0	916.7187	707.3097
2207.668	1	2208.703	BambaNugat	44	1	0	916.715	654.1307
2209.671	1	2210.688	Shugi	54	0	0	NaN	NaN
2211.673	1	2212.691	Halva2	42	0	0	NaN	NaN
2213.658	1	2214.676	BabyDoll	57	0	0	NaN	NaN
2215.661	1	2216.678	Loacker	6	0	1	NaN	NaN
2221.667	1	2222.685	CrunchShokoVanil	49	0	0	NaN	NaN
2224.671	1	2225.688	Mekupelet	17	0	1	NaN	NaN
2228.659	1	2229.676	KashitSour	39	0	0	NaN	NaN
