onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1956.512	1	1957.533	ChocolateParaMilk3	57	0	0	NaN	NaN
1959.499	1	1960.52	CrunchBisquitWhite2	58	0	0	NaN	NaN
1961.501	1	1962.538	CrunchBisquitBrown3	51	1	0	650.0685	NaN
1963.504	1	1964.538	BambaSweet	46	1	0	600.054	931.0147
1965.506	1	1966.525	Bamba	52	0	0	NaN	NaN
1968.509	1	1969.53	GumiSnakes3	10	0	1	NaN	NaN
1970.512	1	1971.546	ClickXLwhite4	16	1	1	650.0728	859.3171
1974.499	1	1975.536	Hit	54	1	0	616.7179	799.555
1976.502	1	1977.522	ClickXLbrown4	44	0	0	NaN	NaN
1981.507	1	1982.527	DoritosNatural	56	0	0	NaN	NaN
1983.509	1	1984.529	Snickers	4	0	1	NaN	NaN
1987.497	1	1988.532	Apropo	8	1	1	666.7123	977.8648
1989.499	1	1990.517	Halva2	40	0	0	NaN	NaN
1992.503	1	1993.523	ClickBalls5	55	0	0	NaN	NaN
1997.508	1	1998.529	SkittlesFruits2	6	0	1	NaN	NaN
1999.511	1	2000.548	ClickBisquit2	48	1	0	633.3842	980.1347
2001.496	1	2002.516	DoritosGrill	19	0	1	NaN	NaN
2005.501	1	2006.521	Mars	7	0	1	NaN	NaN
2009.505	1	2010.525	Tapuchips	13	0	1	NaN	NaN
2013.51	1	2014.53	Tortit	21	0	1	NaN	NaN
2015.512	1	2016.546	ChocolateParaCookies5	17	1	1	683.3856	946.829
2017.498	1	2018.518	KifkefMaklot2	50	0	0	NaN	NaN
2019.5	1	2020.52	PesekZman	47	0	0	NaN	NaN
2021.502	1	2022.523	HispusimShatiah	41	0	0	NaN	NaN
2027.509	1	2028.545	WerthersOriginal	11	1	1	700.043	894.0548
2030.512	1	2031.546	Cheetos	9	1	1	716.7145	1002.786
2032.498	1	2033.534	Twist	43	1	0	650.0571	1025.074
2034.5	1	2035.521	BisliPizza3	42	0	0	NaN	NaN
2037.503	1	2038.524	Loacker	53	0	0	NaN	NaN
2039.506	1	2040.543	Kitkat	49	1	0	600.0428	801.2221
2041.508	1	2042.528	Tictac	12	0	1	NaN	NaN
2043.51	1	2044.53	HappyHippo	22	0	1	NaN	NaN
2046.496	1	2047.516	BisliBbq	45	0	0	NaN	NaN
2048.499	1	2049.519	Bounty	39	0	0	NaN	NaN
2050.501	1	2051.519	Egozi	18	0	1	NaN	NaN
2052.504	1	2053.524	Dubonim	15	0	1	NaN	NaN
2054.506	1	2055.526	Twix	5	0	1	NaN	NaN
2060.512	1	2061.532	Popco	3	0	1	NaN	NaN
2063.499	1	2064.534	Mentos	14	1	1	666.7221	847.7403
2067.504	1	2068.524	GumiWine2	20	0	1	NaN	NaN
