onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1313.708	1	1314.726	HappyHippo	22	0	1	NaN	NaN
1318.697	1	1319.715	PesekZman	47	0	0	NaN	NaN
1320.699	1	1321.717	Tictac	12	0	1	NaN	NaN
1322.701	1	1323.737	Cheetos	9	1	1	816.7392	1013.803
1328.708	1	1329.726	Bamba	52	0	0	NaN	NaN
1330.693	1	1331.711	Egozi	18	0	1	NaN	NaN
1333.697	1	1334.717	Halva2	40	0	0	NaN	NaN
1335.699	1	1336.717	ClickBalls5	55	0	0	NaN	NaN
1339.704	1	1340.721	DoritosGrill	19	0	1	NaN	NaN
1341.706	1	1342.724	ClickXLbrown4	44	0	0	NaN	NaN
1346.695	1	1347.713	HispusimShatiah	41	0	0	NaN	NaN
1353.703	1	1354.738	CrunchBisquitBrown3	51	1	0	616.7318	964.2303
1355.705	1	1356.723	Tortit	21	0	1	NaN	NaN
1358.708	1	1359.726	Twix	5	0	1	NaN	NaN
1361.695	1	1362.729	Twist	43	1	0	633.3861	915.8398
1365.699	1	1366.717	ChocolateParaMilk3	57	0	0	NaN	NaN
1369.704	1	1370.722	Dubonim	15	0	1	NaN	NaN
1373.708	1	1374.726	GumiSnakes3	10	0	1	NaN	NaN
1376.695	1	1377.713	Tapuchips	13	0	1	NaN	NaN
1382.702	1	1383.72	Snickers	4	0	1	NaN	NaN
1384.704	1	1385.738	Apropo	8	1	1	766.717	1122.724
1387.707	1	1388.744	BambaSweet	46	1	0	650.0461	1055.413
1389.693	1	1390.714	GumiWine2	20	0	1	NaN	NaN
1391.695	1	1392.732	Kitkat	49	1	0	600.0446	811.5926
1393.698	1	1394.715	KifkefMaklot2	50	0	0	NaN	NaN
1396.701	1	1397.719	BisliPizza3	42	0	0	NaN	NaN
1400.705	1	1401.723	CrunchBisquitWhite2	58	0	0	NaN	NaN
1402.708	1	1403.725	Mars	7	0	1	NaN	NaN
1404.693	1	1405.745	ChocolateParaCookies5	17	1	1	716.7224	917.9636
1406.695	1	1407.713	Loacker	53	0	0	NaN	NaN
1408.698	1	1409.715	BisliBbq	45	0	0	NaN	NaN
1410.7	1	1411.737	ClickXLwhite4	16	1	1	733.3924	942.9062
1414.704	1	1415.722	DoritosNatural	56	0	0	NaN	NaN
1418.709	1	1419.743	Hit	54	1	0	616.7419	821.9418
1420.695	1	1421.712	Popco	3	0	1	NaN	NaN
1422.697	1	1423.731	Mentos	14	1	1	750.0531	946.1353
1424.699	1	1425.717	Bounty	39	0	0	NaN	NaN
1426.701	1	1427.736	ClickBisquit2	48	1	0	633.3812	869.6503
1432.708	1	1433.745	WerthersOriginal	11	1	1	766.7231	958.9543
1434.693	1	1435.713	SkittlesFruits2	6	0	1	NaN	NaN
