onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
2331.934	1	2332.968	Kitkat	49	1	0	683.3924	1045.065
2336.923	1	2337.959	ClickBisquit2	48	1	0	633.3751	928.0778
2338.925	1	2339.945	ChocolateParaMilk3	57	0	0	NaN	NaN
2340.927	1	2341.947	CrunchBisquitWhite2	58	0	0	NaN	NaN
2346.934	1	2347.954	Egozi	18	0	1	NaN	NaN
2348.936	1	2349.956	KifkefMaklot2	50	0	0	NaN	NaN
2351.923	1	2352.959	ClickXLwhite4	16	1	1	750.0737	944.0116
2353.925	1	2354.945	Snickers	4	0	1	NaN	NaN
2357.93	1	2358.95	Bamba	52	0	0	NaN	NaN
2359.932	1	2360.952	HispusimShatiah	41	0	0	NaN	NaN
2364.921	1	2365.958	Hit	54	1	0	650.0578	850.2969
2371.929	1	2372.949	GumiSnakes3	10	0	1	NaN	NaN
2373.931	1	2374.949	BisliPizza3	42	0	0	NaN	NaN
2376.934	1	2377.971	Cheetos	9	1	1	766.7182	980.5785
2379.921	1	2380.958	Mentos	14	1	1	783.3784	1002.274
2383.925	1	2384.945	ClickXLbrown4	44	0	0	NaN	NaN
2387.93	1	2388.966	Apropo	8	1	1	733.3893	968.9597
2391.934	1	2392.955	HappyHippo	22	0	1	NaN	NaN
2394.921	1	2395.941	DoritosNatural	56	0	0	NaN	NaN
2400.928	1	2401.948	Mars	7	0	1	NaN	NaN
2402.93	1	2403.965	ChocolateParaCookies5	17	1	1	750.0505	928.6689
2405.933	1	2406.954	Twix	5	0	1	NaN	NaN
2407.936	1	2408.956	Popco	3	0	1	NaN	NaN
2409.921	1	2410.941	PesekZman	47	0	0	NaN	NaN
2411.923	1	2412.944	Tapuchips	13	0	1	NaN	NaN
2414.927	1	2415.947	Bounty	39	0	0	NaN	NaN
2418.931	1	2419.968	BambaSweet	46	1	0	666.7224	967.4364
2420.934	1	2421.954	ClickBalls5	55	0	0	NaN	NaN
2422.936	1	2423.973	Twist	43	1	0	683.379	938.9486
2424.921	1	2425.942	SkittlesFruits2	6	0	1	NaN	NaN
2426.924	1	2427.944	Dubonim	15	0	1	NaN	NaN
2428.926	1	2429.946	Loacker	53	0	0	NaN	NaN
2432.93	1	2433.965	CrunchBisquitBrown3	51	1	0	700.0536	904.3277
2436.935	1	2437.955	Tictac	12	0	1	NaN	NaN
2438.92	1	2439.941	DoritosGrill	19	0	1	NaN	NaN
2440.923	1	2441.943	GumiWine2	20	0	1	NaN	NaN
2442.925	1	2443.945	BisliBbq	45	0	0	NaN	NaN
2444.927	1	2445.964	WerthersOriginal	11	1	1	766.7095	955.5926
2450.934	1	2451.954	Halva2	40	0	0	NaN	NaN
2452.936	1	2453.954	Tortit	21	0	1	NaN	NaN
