onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.016072	0.91899	3.816469	SkittlesSour4	Shugi	51	52	1	y	2	0	1298.78
9.032568	0.91899	10.31779	KinderJoy	Shugi	46	52	1	b	2	1	791.28
22.03272	0.91899	23.78698	ClickXLwhite4	Bounty	10	8	0	y	1	1	1256.13
26.03287	0.91899	27.52087	ClickBlackWhite3	ClickXLbrown4	15	14	0	b	1	0	989.98
31.02138	0.91899	32.34967	PesekZman	KinderBuenoWhite2	17	7	1	y	1	0	820.47
34.03286	0.91899	35.33312	Halva2	KinderJoy	47	46	0	y	2	1	799.99
39.03297	0.91899	40.33308	Twix	GumiWine2	5	55	1	b	4	1	805.87
43.02341	0.91899	44.33336	BisliPizza3	KinderJoy	44	46	0	y	2	1	801.44
52.03317	0.91899	53.35011	ClickXLbrown4	Mars	14	18	1	b	1	1	822.67
57.03323	0.91899	58.51666	HispusimShatiah	Tapuchips	43	50	1	y	2	0	983.61
61.02654	0.91899	62.49355	BisliPizza3	BabyDoll	44	49	0	y	2	1	962.31
68.02778	0.91899	69.4781	ChocolateParaMilk3	ClickXLwhite4	16	10	1	y	1	0	947.07
72.02847	0.91899	73.48364	HappyHippo	Tapuchips	54	50	1	y	2	0	956.38
78.02952	0.91899	79.51332	Tapuchips	KinderJoy	50	46	0	b	2	0	981.33
83.03042	0.91899	84.53385	ClickXLbrown4	CrunchBisquitBrown3	14	12	1	y	1	0	1012.42
87.03108	0.91899	88.38376	PesekZman	Mars	17	18	1	b	1	1	855.8
90.03157	0.91899	91.76723	Halva2	BabyDoll	47	49	0	y	2	1	1238.28
93.03213	0.91899	94.31716	Bounty	KinderBuenoWhite2	8	7	1	y	1	0	792.71
97.03288	0.91899	98.80054	ClickXLwhite4	KifkefMaklot2	10	9	0	y	1	1	1281.96
110.0184	0.91899	111.9524	ChocolateParaSucariotKoftzot2	Bounty	13	8	0	y	1	1	1424.44
114.0208	0.91899	115.5362	ClickBalls5	KinderBuenoWhite2	11	7	1	y	1	0	1012.04
117.0196	0.91899	118.3033	ClickBalls5	Mars	11	18	1	b	1	1	772.22
122.0212	0.91899	123.3042	Mars	ChocolateParaMilk3	18	16	0	y	1	1	782.6
125.021	0.91899	126.2547	KinderBuenoBrown3	GumiWine2	6	55	1	b	4	1	729.87
129.0217	0.91899	130.3554	BisliPizza3	SkittlesSour4	44	51	0	b	2	0	826.16
135.0227	0.91899	136.2898	HispusimShatiah	Shugi	43	52	1	y	2	0	767.12
138.0233	0.91899	139.4736	Smarties	KinderJoy	53	46	0	y	2	1	949.58
142.024	0.91899	143.3245	Mentos	Halva2	48	47	1	y	2	0	791.8
147.0249	0.91899	148.6346	Bounty	ClickBlackWhite3	8	15	1	b	1	1	1105.95
151.0256	0.91899	152.418	Mars	KifkefMaklot2	18	9	0	y	1	1	885.26
163.0276	0.91899	164.5849	ChocolateParaSucariotKoftzot2	ClickXLbrown4	13	14	0	b	1	0	1055.24
169.0286	0.91899	170.5181	SkittlesSour4	Tapuchips	51	50	1	y	2	0	985.19
172.0292	0.91899	173.8016	Shugi	Mentos	52	48	0	b	2	0	1275.62
176.0299	0.91899	177.685	PesekZman	CrunchBisquitBrown3	17	12	1	y	1	0	1153.94
179.0304	0.91899	180.7351	Smarties	SkittlesSour4	53	51	0	y	2	1	1204.44
182.0309	0.91899	183.7349	BisliOnion	SkittlesSour4	45	51	0	b	2	0	1203.91
185.0314	0.91899	186.5684	ClickXLwhite4	PesekZman	10	17	0	y	1	1	1046.44
188.0321	0.91899	189.785	Smarties	Mentos	53	48	0	b	2	0	1254.76
