onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1551.666	1	1552.685	Smarties	47	0	0	NaN	NaN
1554.669	1	1555.704	CrunchBisquitWhite2	16	1	1	683.3934	925.7993
1556.654	1	1557.672	ClickBalls5	20	0	1	NaN	NaN
1558.657	1	1559.675	BisliPizza3	18	0	1	NaN	NaN
1560.659	1	1561.677	DoritosSourSpicy	13	0	1	NaN	NaN
1563.662	1	1564.697	Taami	43	1	0	683.4042	1044.291
1565.665	1	1566.682	BambaNugat	50	0	0	NaN	NaN
1569.669	1	1570.704	PesekZman	14	1	1	700.0548	965.5901
1571.654	1	1572.673	Hit	7	0	1	NaN	NaN
1576.66	1	1577.678	KinderBuenoBrown3	22	0	1	NaN	NaN
1578.663	1	1579.68	BisliBbq	4	0	1	NaN	NaN
1582.667	1	1583.685	CrunchBisquitBrown3	6	0	1	NaN	NaN
1584.669	1	1585.705	GumiWine2	54	1	0	633.3863	957.4689
1587.656	1	1588.674	ChocolateParaCookies5	5	0	1	NaN	NaN
1592.662	1	1593.679	GumiSnakes3	56	0	0	NaN	NaN
1594.664	1	1595.682	SkittlesSour4	53	0	0	NaN	NaN
1596.666	1	1597.684	Tapuchips	19	0	1	NaN	NaN
1600.654	1	1601.672	BabyDoll	44	0	0	NaN	NaN
1604.658	1	1605.676	Shugi	57	0	0	NaN	NaN
1608.663	1	1609.681	Snickers	41	0	0	NaN	NaN
1610.665	1	1611.7	ChocolateParaMarir2	51	1	0	650.0501	929.5844
1612.667	1	1613.703	DoritosGrill	17	1	1	716.7202	1119.386
1614.67	1	1615.705	HispusimShatiah	48	1	0	666.7192	1029.068
1616.655	1	1617.673	Loacker	21	0	1	NaN	NaN
1622.662	1	1623.68	ClickXLbrown4	10	0	1	NaN	NaN
1625.665	1	1626.702	ClickXLwhite4	9	1	1	666.7236	1017.554
1627.668	1	1628.686	KinderJoy	39	0	0	NaN	NaN
1629.653	1	1630.671	ChocolateParaMilk3	12	0	1	NaN	NaN
1632.657	1	1633.674	Halva2	42	0	0	NaN	NaN
1634.659	1	1635.677	Mentos	45	0	0	NaN	NaN
1636.661	1	1637.679	Tictac	55	0	0	NaN	NaN
1638.663	1	1639.699	BambaSweet	46	1	0	616.7241	875.5469
1641.667	1	1642.684	KashitSour	40	0	0	NaN	NaN
1643.669	1	1644.687	HappyHippo	52	0	0	NaN	NaN
1645.654	1	1646.69	BisliGrill	8	1	1	616.721	924.5184
1647.657	1	1648.675	ClickBlackWhite3	15	0	1	NaN	NaN
1649.659	1	1650.677	Egozi	58	0	0	NaN	NaN
1655.666	1	1656.701	ClickBisquit2	11	1	1	633.3895	848.9782
1658.669	1	1659.687	DoritosNatural	3	0	1	NaN	NaN
1662.657	1	1663.693	SkittlesFruits2	49	1	0	633.3858	881.8716
