onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1155.007	1	1156.044	DoritosGrill	51	1	0	750.064	947.8896
1157.009	1	1158.045	BisliPizza3	43	1	0	766.7196	993.5804
1160.997	1	1162.015	Keifli	45	0	0	NaN	NaN
1164	1	1165.035	DoritosSourSpicy	17	1	1	750.0792	986.4003
1166.002	1	1167.02	WerthersOriginal	53	0	0	NaN	NaN
1169.006	1	1170.024	BisliBbq	39	0	0	NaN	NaN
1173.01	1	1174.028	KifkefMaklot2	15	0	1	NaN	NaN
1176.998	1	1178.016	Cheetos	56	0	0	NaN	NaN
1179	1	1180.035	Halva2	46	1	0	783.383	1042.194
1184.006	1	1185.025	BisliGrill	47	0	0	NaN	NaN
1186.008	1	1187.026	CrunchBisquitWhite2	7	0	1	NaN	NaN
1188.01	1	1189.045	ClickBlackWhite3	9	1	1	766.7163	928.1852
1194	1	1195.018	KinderBuenoBrown3	20	0	1	NaN	NaN
1196.003	1	1197.02	Shugi	50	0	0	NaN	NaN
1198.005	1	1199.041	Twix	16	1	1	783.3747	957.5977
1200.007	1	1201.025	Mars	18	0	1	NaN	NaN
1203.995	1	1205.013	HappyHippo	41	0	0	NaN	NaN
1207.999	1	1209.017	KinderBuenoWhite2	21	0	1	NaN	NaN
1211.003	1	1212.021	KashitSour	42	0	0	NaN	NaN
1215.007	1	1216.025	HispusimShatiah	44	0	0	NaN	NaN
1218.011	1	1219.029	GumiSnakes3	52	0	0	NaN	NaN
1219.996	1	1221.014	SkittlesSour4	58	0	0	NaN	NaN
1224.001	1	1225.038	Snickers	11	1	1	800.0468	1033.748
1226.003	1	1227.038	ChocolateParaMarir2	14	1	1	750.0425	959.5141
1228.005	1	1229.023	BisliOnion	57	0	0	NaN	NaN
1232.01	1	1233.044	GumiWine2	54	1	0	733.3792	928.7109
1233.995	1	1235.013	Kitkat	12	0	1	NaN	NaN
1238	1	1239.017	ClickBisquit2	10	0	1	NaN	NaN
1242.004	1	1243.022	Tictac	55	0	0	NaN	NaN
1245.008	1	1246.043	ChocolateParaCookies5	8	1	1	766.7141	906.8286
1250.998	1	1252.032	BambaSweet	48	1	0	750.0543	964.8075
1253	1	1254.018	CrunchBisquitBrown3	6	0	1	NaN	NaN
1257.004	1	1258.022	ClickBalls5	5	0	1	NaN	NaN
1259.007	1	1260.024	Tortit	40	0	0	NaN	NaN
1261.009	1	1262.027	KinderJoy	19	0	1	NaN	NaN
1262.994	1	1264.012	Taami	22	0	1	NaN	NaN
1268	1	1269.035	Hit	49	1	0	766.7214	954.3602
1270.002	1	1271.02	CrunchShokoVanil	13	0	1	NaN	NaN
1272.005	1	1273.023	ClickXLwhite4	4	0	1	NaN	NaN
1275.008	1	1276.026	ChocolateParaMilk3	3	0	1	NaN	NaN
