onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.012386	0.9575	3.27923	ClickBlackWhite3	KinderBuenoWhite2	18	8	1	b	1	1	755.55
6.0129	0.9575	7.213246	ChocolateParaMarir2	PesekZman	7	16	1	b	1	1	694.04
13.01413	0.9575	14.64795	ChocolateParaCookies5	ClickBlackWhite3	14	18	0	y	1	1	1133.8
16.01675	0.9575	17.74846	Cheetos	HispusimShatiah	46	47	0	b	2	0	1233.18
21.01555	0.9575	22.28273	Egozi	SkittlesSour4	43	52	0	b	2	0	763.38
31.0173	0.9575	32.56778	SkittlesSour4	BambaSweet	52	49	1	y	2	0	1050.62
34.01772	0.9575	35.32962	Cheetos	Hit	46	44	0	y	2	1	806.2
37.01832	0.9575	38.13534	KinderBuenoWhite2	Snickers	8	15	0	y	1	1	612.61
46.01992	0.9575	47.83708	KifkefMaklot2	Egozi	50	43	1	y	2	0	1315.01
49.02039	0.9575	50.13002	ChocolateParaMarir2	Loacker	7	17	1	b	1	1	604.54
59.02214	0.9575	60.76338	Keifli	Hit	54	44	0	y	2	1	1239.78
64.02299	0.9575	65.24671	Kitkat	KinderBuenoWhite2	12	8	1	b	1	1	728.94
69.02384	0.9575	70.31363	Hit	Twist	44	48	1	y	2	0	787.09
77.02531	0.9575	78.27575	Keifli	KifkefMaklot2	54	50	0	y	2	1	750.63
84.02649	0.9575	85.66381	ClickBisquit2	DoritosSourSpicy	51	53	0	b	2	0	1144.44
88.01364	0.9575	89.4777	ChocolateParaCookies5	Mekupelet	14	13	0	y	1	1	953.29
91.01363	0.9575	92.18052	PesekZman	Shugi	16	10	0	b	1	0	655.3
96.01365	0.9575	97.63056	Twist	KifkefMaklot2	48	50	0	b	2	0	1114.28
99.01372	0.9575	100.264	ClickBalls5	Kitkat	9	12	0	b	1	0	739.22
107.0139	0.9575	108.2807	BabyDoll	Egozi	45	43	1	y	2	0	770.02
113.0149	0.9575	114.282	Snickers	ClickBalls5	15	9	1	y	1	0	762.08
118.0181	0.9575	119.6495	SkittlesSour4	Keifli	52	54	1	y	2	0	1123.84
123.0166	0.9575	124.2309	Egozi	Hit	43	44	0	b	2	0	705.38
126.018	0.9575	127.651	DoritosSourSpicy	Keifli	53	54	1	y	2	0	1124.9
140.0195	0.9575	141.4811	Loacker	Shugi	17	10	0	b	1	0	959.4
143.02	0.9575	144.2872	BabyDoll	Twist	45	48	1	y	2	0	763.92
147.0207	0.9575	148.7713	KinderBuenoWhite2	Mekupelet	8	13	0	y	1	1	1248.21
151.0214	0.9575	152.2981	Shugi	KinderBuenoWhite2	10	8	1	y	1	0	771.53
154.022	0.9575	155.1814	ChocolateParaMarir2	KashitSour	7	11	1	b	1	1	654.94
157.0225	0.9575	158.2314	BisliBbq	KinderBuenoBrown3	55	5	0	y	4	1	709.49
163.0236	0.9575	164.6148	ClickBisquit2	BabyDoll	51	45	0	b	2	0	1090.37
169.0246	0.9575	170.2482	CrunchBisquitBrown3	BisliPizza3	6	56	1	b	4	1	729.3
172.0251	0.9575	173.7982	Keifli	HispusimShatiah	54	47	0	b	2	0	1278.79
175.0257	0.9575	176.2816	SkittlesSour4	ClickBisquit2	52	51	1	y	2	0	762.28
179.0263	0.9575	180.6933	KashitSour	Shugi	11	10	0	b	1	0	1170.66
182.0148	0.9575	183.694	Mekupelet	ClickBalls5	13	9	1	b	1	1	1169.13
185.0148	0.9575	186.6484	ClickBlackWhite3	PesekZman	18	16	1	y	1	0	1130.1
188.0149	0.9575	189.5317	ClickBlackWhite3	Loacker	18	17	1	b	1	1	1016.07
