onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.019523	0.9575	3.542371	DoritosSourSpicy	ClickBisquit2	13	11	0	y	1	1	1025.27
9.019676	0.9575	10.40915	Mentos	ChocolateParaMarir2	45	51	0	y	2	1	891.1
22.01982	0.9575	23.50333	Taami	Mentos	43	45	1	y	2	0	983.96
26.01991	0.9575	27.67002	BisliPizza3	ClickXLwhite4	18	9	0	b	1	0	1152.91
31.01994	0.9575	32.48673	Hit	PesekZman	7	14	0	y	1	1	971.84
34.01996	0.9575	35.6469	CrunchBisquitWhite2	ChocolateParaMilk3	16	12	1	b	1	1	1129.82
39.02	0.9575	40.86455	SkittlesFruits2	Mentos	49	45	1	b	2	1	1344.77
43.02016	0.9575	44.53185	Mentos	BambaSweet	45	46	0	b	2	0	1011.62
52.02018	0.9575	53.43708	HappyHippo	BambaSweet	52	46	0	b	2	0	920.59
57.02028	0.9575	58.82044	ClickXLbrown4	ClickBisquit2	10	11	0	y	1	1	1303.5
61.0204	0.9575	62.45383	BisliPizza3	ClickBisquit2	18	11	0	b	1	0	934.35
68.0205	0.9575	69.63724	BisliGrill	BisliPizza3	8	18	1	b	1	1	1123.28
72.02053	0.9575	73.80403	BisliPizza3	CrunchBisquitWhite2	18	16	0	y	1	1	1295.29
78.02095	0.9575	80.02137	SkittlesFruits2	BambaNugat	49	50	1	x	2	NaN	NaN
83.0207	0.9575	84.40548	Smarties	GumiWine2	47	54	0	b	2	0	886.12
87.02071	0.9575	88.58763	Taami	BabyDoll	43	44	1	b	2	1	1066.07
90.02081	0.9575	91.55681	SkittlesFruits2	Smarties	49	47	1	b	2	1	1043.97
93.02089	0.9575	94.44052	ClickBlackWhite3	ClickXLwhite4	15	9	0	b	1	0	921.91
97.02088	0.9575	98.54126	GumiWine2	BabyDoll	54	44	1	y	2	0	1029.89
110.021	0.9575	111.4103	ChocolateParaCookies5	Tictac	5	55	1	b	4	1	896.74
114.0211	0.9575	115.5713	ClickBisquit2	Hit	11	7	1	b	1	1	1052.66
117.0212	0.9575	118.4214	DoritosSourSpicy	CrunchBisquitWhite2	13	16	0	y	1	1	901.61
122.0212	0.9575	123.6957	Smarties	BambaSweet	47	46	0	b	2	0	1181.62
125.0212	0.9575	126.7548	DoritosGrill	Hit	17	7	1	y	1	0	1236.61
129.0213	0.9575	130.5302	HappyHippo	HispusimShatiah	52	48	0	b	2	0	1013.51
135.0142	0.9575	136.6716	ChocolateParaMarir2	Smarties	51	47	1	b	2	1	1153.59
138.0147	0.9575	139.4716	SkittlesSour4	BambaSweet	53	46	0	b	2	0	953.06
142.0215	0.9575	143.5218	DoritosGrill	BisliPizza3	17	18	1	y	1	0	1004.34
147.0216	0.9575	148.5052	Hit	CrunchBisquitWhite2	7	16	0	b	1	0	993.12
151.0216	0.9575	152.7718	HispusimShatiah	BabyDoll	48	44	1	b	2	1	1254.13
163.0218	0.9575	164.572	CrunchBisquitBrown3	GumiSnakes3	6	56	1	b	4	1	1062.93
169.0202	0.9575	170.4553	BisliGrill	ChocolateParaMilk3	8	12	1	b	1	1	943.58
172.0208	0.9575	173.7221	ClickXLbrown4	ClickXLwhite4	10	9	0	y	1	1	1212.01
176.0213	0.9575	177.8722	ClickBisquit2	ClickBlackWhite3	11	15	1	b	1	1	1365.49
179.022	0.9575	180.8224	Taami	BambaNugat	43	50	1	b	2	1	1310.78
182.0055	0.9575	184.0221	ChocolateParaMarir2	SkittlesSour4	51	53	1	x	2	NaN	NaN
185.0061	0.9575	186.5233	HappyHippo	GumiWine2	52	54	0	b	2	0	1002.7
188.0069	0.9575	189.5907	ClickXLbrown4	BisliGrill	10	8	0	y	1	1	1074.91
