onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
2383.009	1	2384.027	Apropo	6	0	1	NaN	NaN
2386.013	1	2387.048	ClickBisquit2	9	1	1	766.7377	726.2353
2387.998	1	2389.016	Cheetos	39	0	0	NaN	NaN
2390.001	1	2391.018	HappyHippo	55	0	0	NaN	NaN
2392.003	1	2393.021	BisliBbq	13	0	1	NaN	NaN
2395.006	1	2396.024	Hit	19	0	1	NaN	NaN
2397.008	1	2398.045	Halva2	54	1	0	783.4007	954.6216
2401.013	1	2402.031	ChocolateParaSucariotKoftzot2	21	0	1	NaN	NaN
2402.998	1	2404.016	DoritosSourSpicy	57	0	0	NaN	NaN
2408.004	1	2409.022	ClickXLbrown4	20	0	1	NaN	NaN
2410.006	1	2411.041	Keifli	17	1	1	783.3828	972.693
2414.011	1	2415.029	BagaleShtuhim	44	0	0	NaN	NaN
2416.013	1	2417.048	Bounty	11	1	1	800.064	797.9947
2419	1	2420.034	KashitSour	49	1	0	800.0407	931.1603
2424.005	1	2425.042	Taami	51	1	0	816.7129	885.6859
2426.008	1	2427.025	Mentos	56	0	0	NaN	NaN
2428.01	1	2429.028	Tapuchips	50	0	0	NaN	NaN
2432.014	1	2433.032	GumiWine2	41	0	0	NaN	NaN
2436.002	1	2437.02	Mars	22	0	1	NaN	NaN
2440.007	1	2441.041	KinderBuenoWhite2	14	1	1	816.7232	1132.329
2442.009	1	2443.027	KifkefMaklot2	7	0	1	NaN	NaN
2444.011	1	2445.029	WerthersOriginal	52	0	0	NaN	NaN
2446.013	1	2447.031	BabyDoll	58	0	0	NaN	NaN
2447.999	1	2449.035	Tortit	43	1	0	833.3836	948.4357
2454.006	1	2455.024	CrunchBisquitWhite2	4	0	1	NaN	NaN
2457.009	1	2458.027	GumiSnakes3	53	0	0	NaN	NaN
2459.011	1	2460.029	HispusimShatiah	40	0	0	NaN	NaN
2460.997	1	2462.015	BisliPizza3	12	0	1	NaN	NaN
2464	1	2465.018	ChocolateParaMarir2	10	0	1	NaN	NaN
2466.002	1	2467.037	CrunchShokoVanil	46	1	0	850.1399	944.5673
2468.005	1	2469.023	BambaSweet	45	0	0	NaN	NaN
2470.007	1	2471.041	ChocolateParaCookies5	8	1	1	766.7309	907.9724
2473.01	1	2474.028	Dubonim	18	0	1	NaN	NaN
2475.013	1	2476.03	DoritosGrill	42	0	0	NaN	NaN
2476.998	1	2478.016	BisliOnion	5	0	1	NaN	NaN
2479	1	2480.018	CrunchBisquitBrown3	3	0	1	NaN	NaN
2481.003	1	2482.02	SkittlesFruits2	15	0	1	NaN	NaN
2487.009	1	2488.044	Twist	48	1	0	866.7112	849.5361
2490.013	1	2491.031	ClickXLwhite4	47	0	0	NaN	NaN
2494.001	1	2495.037	Loacker	16	1	1	783.3881	874.3814
