onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.02339	0.91899	3.466387	Shugi	HappyHippo	52	54	0	y	2	1	935.56
9.024632	0.91899	10.65836	ClickBalls5	ChocolateParaSucariotKoftzot2	11	13	1	y	1	0	1133.31
22.02688	0.91899	23.26673	PesekZman	Mars	17	18	1	b	1	1	740.07
26.02756	0.91899	27.66676	ClickXLwhite4	Bounty	10	8	0	y	1	1	1137.4
31.02843	0.91899	32.37889	ChocolateParaSucariotKoftzot2	ChocolateParaMilk3	13	16	0	b	1	0	848.52
34.03329	0.91899	35.36265	Mars	KifkefMaklot2	18	9	0	y	1	1	833.62
39.02984	0.91899	40.6004	ClickXLwhite4	PesekZman	10	17	0	y	1	1	1072.1
43.03052	0.91899	44.50037	BisliOnion	HispusimShatiah	45	43	0	b	2	0	970.43
52.01699	0.91899	53.61712	Smarties	HappyHippo	53	54	0	y	2	1	1091.97
57.01699	0.91899	58.65062	HispusimShatiah	Halva2	43	47	1	y	2	0	1133.96
61.01702	0.91899	62.41745	HappyHippo	Halva2	54	47	1	b	2	1	886.94
68.02071	0.91899	70.01882	ClickXLbrown4	ClickBlackWhite3	14	15	1	x	1	NaN	NaN
72.02126	0.91899	73.40058	KifkefMaklot2	KinderBuenoWhite2	9	7	1	y	1	0	870.7
78.02025	0.91899	79.37037	Bounty	Mars	8	18	1	b	1	1	844.7
83.02085	0.91899	84.43794	BabyDoll	Smarties	49	53	1	b	2	1	907.11
87.02155	0.91899	88.23864	ClickBlackWhite3	ChocolateParaMilk3	15	16	0	b	1	0	712.41
90.02215	0.91899	91.32242	SkittlesSour4	Smarties	51	53	1	y	2	0	794.81
93.02264	0.91899	94.58963	Bounty	ClickBlackWhite3	8	15	1	y	1	0	1069.31
97.02334	0.91899	98.36768	BisliPizza3	Mentos	44	48	0	b	2	0	842.61
110.0256	0.91899	111.3927	Smarties	KinderJoy	53	46	0	y	2	1	867.31
114.0263	0.91899	115.2347	SkittlesFruits2	KinderBuenoBrown3	56	6	0	y	4	1	711.67
117.0268	0.91899	118.3179	BisliPizza3	BabyDoll	44	49	0	y	2	1	787.11
122.0277	0.91899	123.5513	PesekZman	ClickBlackWhite3	17	15	1	y	1	0	1030.26
125.0282	0.91899	126.3514	ClickXLbrown4	CrunchBisquitBrown3	14	12	1	y	1	0	824.71
129.0289	0.91899	130.2849	Tapuchips	HappyHippo	50	54	0	y	2	1	756.02
135.03	0.91899	136.7305	CrunchBisquitBrown3	Bounty	12	8	0	y	1	1	1199.98
138.0304	0.91899	139.3309	ClickBalls5	Mars	11	18	1	b	1	1	803.53
142.0181	0.91899	143.3017	KinderJoy	Shugi	46	52	1	b	2	1	778.86
147.0182	0.91899	148.3685	Halva2	BabyDoll	47	49	0	y	2	1	848.78
151.0182	0.91899	152.3018	ChocolateParaSucariotKoftzot2	PesekZman	13	17	0	b	1	0	771.73
163.0184	0.91899	164.302	Tapuchips	KinderJoy	50	46	0	y	2	1	782.55
169.0191	0.91899	170.3696	BisliOnion	HappyHippo	45	54	0	y	2	1	840.82
172.0197	0.91899	173.2868	SkittlesSour4	Shugi	51	52	1	y	2	0	765.22
176.0225	0.91899	177.3373	ClickBalls5	ClickXLwhite4	11	10	1	b	1	1	811.42
179.0209	0.91899	180.2547	Mentos	Shugi	48	52	1	y	2	0	730.07
182.0228	0.91899	183.3052	Twix	GumiWine2	5	55	1	b	4	1	779.19
185.0219	0.91899	186.2724	KinderJoy	Halva2	46	47	1	b	2	1	753.07
188.0224	0.91899	189.3561	CrunchBisquitBrown3	ClickBalls5	12	11	0	b	1	0	834.6
