onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1622.324	1	1623.359	BagaleShtuhim	45	1	0	516.7269	1087.035
1627.313	1	1628.347	BisliBbq	53	1	0	466.7077	1074.075
1629.315	1	1630.349	ChocolateParaSucariotKoftzot2	12	1	1	450.0624	1007.914
1631.317	1	1632.335	HispusimShatiah	42	0	0	NaN	NaN
1637.324	1	1638.342	BisliOnion	57	0	0	NaN	NaN
1639.326	1	1640.344	ClickBalls5	22	0	1	NaN	NaN
1642.313	1	1643.331	Shugi	40	0	0	NaN	NaN
1644.315	1	1645.35	Taami	13	1	1	400.0516	895.5822
1648.32	1	1649.337	Tortit	55	0	0	NaN	NaN
1650.322	1	1651.356	BambaNugat	50	1	0	416.7141	1376.87
1655.311	1	1656.328	GumiSnakes3	16	0	1	NaN	NaN
1662.319	1	1663.337	Kitkat	9	0	1	NaN	NaN
1664.321	1	1665.357	CrunchBisquitBrown3	18	1	1	416.7199	841.8204
1667.324	1	1668.342	ClickXLwhite4	11	0	1	NaN	NaN
1670.311	1	1671.347	Mars	7	1	1	433.3803	747.6989
1674.315	1	1675.333	Mentos	43	0	0	NaN	NaN
1678.32	1	1679.338	ClickXLbrown4	6	0	1	NaN	NaN
1682.324	1	1683.342	BisliPizza3	51	0	0	NaN	NaN
1685.311	1	1686.329	Egozi	48	0	0	NaN	NaN
1691.318	1	1692.336	KinderBuenoBrown3	8	0	1	NaN	NaN
1693.32	1	1694.338	Keifli	54	0	0	NaN	NaN
1696.324	1	1697.359	Cheetos	44	1	0	366.7157	1063.201
1698.326	1	1699.346	DoritosNatural	41	0	0	NaN	NaN
1700.311	1	1701.329	KifkefMaklot2	21	0	1	NaN	NaN
1702.314	1	1703.35	HappyHippo	47	1	0	316.7116	777.2263
1705.317	1	1706.335	Hit	14	0	1	NaN	NaN
1709.321	1	1710.339	Snickers	4	0	1	NaN	NaN
1711.324	1	1712.341	ChocolateParaMarir2	20	0	1	NaN	NaN
1713.326	1	1714.344	Halva2	39	0	0	NaN	NaN
1715.311	1	1716.346	GumiWine2	52	1	0	333.3757	947.3016
1717.314	1	1718.331	ClickBisquit2	5	0	1	NaN	NaN
1719.316	1	1720.334	Twist	56	0	0	NaN	NaN
1723.32	1	1724.355	SkittlesSour4	10	1	1	450.0487	906.2711
1727.325	1	1728.343	KinderBuenoWhite2	19	0	1	NaN	NaN
1729.31	1	1730.328	Bounty	58	0	0	NaN	NaN
1731.313	1	1732.347	Bamba	15	1	1	466.7087	874.0053
1733.315	1	1734.333	Tictac	49	0	0	NaN	NaN
1735.317	1	1736.335	ChocolateParaMilk3	17	0	1	NaN	NaN
1741.324	1	1742.342	DoritosSourSpicy	3	0	1	NaN	NaN
1743.326	1	1744.344	Loacker	46	0	0	NaN	NaN
