onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
512.0867	1	513.1065	BisliBbq	8	0	1	NaN	NaN
515.0733	1	516.1101	ClickXLbrown4	10	1	1	616.7385	881.8652
519.0779	1	520.0965	KinderJoy	57	0	0	NaN	NaN
521.08	1	522.0989	BabyDoll	41	0	0	NaN	NaN
523.0823	1	524.101	Twix	17	0	1	NaN	NaN
527.0868	1	528.124	ChocolateParaMilk3	44	1	0	683.4037	964.3765
529.0721	1	530.0933	HispusimShatiah	39	0	0	NaN	NaN
534.078	1	535.0965	Shugi	58	0	0	NaN	NaN
536.0802	1	537.0987	Bounty	20	0	1	NaN	NaN
539.0837	1	540.1206	HappyHippo	52	1	0	700.0551	1039.561
542.087	1	543.1234	PesekZman	12	1	1	633.4456	932.242
546.0748	1	547.0939	Bamba	6	0	1	NaN	NaN
549.0782	1	550.1132	Tortit	45	1	0	650.0407	956.9698
551.0803	1	552.1175	ClickBlackWhite3	18	1	1	650.0533	938.9378
554.0838	1	555.1192	BambaSweet	53	1	0	666.7121	895.4096
558.0713	1	559.0896	Kitkat	5	0	1	NaN	NaN
561.0748	1	562.0934	Twist	21	0	1	NaN	NaN
563.0771	1	564.0951	CrunchBisquitBrown3	49	0	0	NaN	NaN
565.0793	1	566.0977	DoritosSourSpicy	51	0	0	NaN	NaN
570.085	1	571.1034	KinderBuenoBrown3	16	0	1	NaN	NaN
574.0729	1	575.0914	Mekupelet	19	0	1	NaN	NaN
578.0773	1	579.0963	WerthersOriginal	46	0	0	NaN	NaN
584.084	1	585.1025	Cheetos	55	0	0	NaN	NaN
586.0862	1	587.1044	SkittlesSour4	40	0	0	NaN	NaN
588.0718	1	589.1069	BisliOnion	7	1	1	666.7215	1011.553
590.074	1	591.0925	BisliPizza3	4	0	1	NaN	NaN
592.0763	1	593.0949	GumiSnakes3	48	0	0	NaN	NaN
596.0807	1	597.1162	ChocolateParaSucariotKoftzot2	13	1	1	616.7133	898.4669
598.0831	1	599.1016	ClickBalls5	9	0	1	NaN	NaN
602.0705	1	603.0884	Hit	3	0	1	NaN	NaN
604.0731	1	605.0919	Smarties	56	0	0	NaN	NaN
606.0754	1	607.1112	KashitSour	47	1	0	683.3835	999.7722
608.0776	1	609.112	CrunchBisquitWhite2	15	1	1	633.3888	957.6508
613.0832	1	614.1179	Mentos	50	1	0	700.0493	984.0239
615.0855	1	616.1043	KifkefMaklot2	54	0	0	NaN	NaN
617.0707	1	618.0887	ClickBisquit2	11	0	1	NaN	NaN
620.0744	1	621.0932	Tapuchips	43	0	0	NaN	NaN
627.0823	1	628.1008	BisliGrill	14	0	1	NaN	NaN
631.0866	1	632.105	Egozi	42	0	0	NaN	NaN
638.0778	1	639.0968	BambaNugat	22	0	1	NaN	NaN
