onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.02071	0.9575	3.427084	Hit	DoritosGrill	13	17	0	y	1	1	911.03
9.009362	0.9575	10.40946	KinderJoy	HispusimShatiah	46	47	1	b	2	1	892.35
22.00953	0.9575	23.35986	CrunchShokoVanil	Taami	52	54	0	b	2	0	842.18
26.00967	0.9575	27.64311	DoritosSourSpicy	Kitkat	15	8	0	b	1	0	1132.02
31.00967	0.9575	32.92649	ClickXLwhite4	Popco	11	12	1	b	1	1	1416.03
34.00969	0.9575	35.42672	HappyHippo	ClickXLwhite4	18	11	0	b	1	0	910.02
39.01053	0.9575	40.5942	Bounty	CrunchBisquitBrown3	10	16	0	b	1	0	1083.17
43.01121	0.9575	44.67829	GumiSnakes3	GumiWine2	49	53	1	y	2	0	1170.51
52.01278	0.9575	53.32977	Smarties	Twist	45	48	0	b	2	0	810.9
57.0137	0.9575	58.73075	GumiSnakes3	Smarties	49	45	1	y	2	0	1214.99
61.0144	0.9575	62.61477	Hit	CrunchBisquitWhite2	13	9	0	y	1	1	1097.33
68.01556	0.9575	69.44939	Hit	Kitkat	13	8	0	y	1	1	929.15
72.01624	0.9575	73.56051	ChocolateParaMarir2	BambaSweet	51	50	1	y	2	0	1043.46
78.01735	0.9575	79.38442	CrunchBisquitWhite2	KinderBuenoWhite2	9	7	1	y	1	0	871.36
83.01799	0.9575	84.42729	SkittlesSour4	KinderJoy	44	46	0	y	2	1	912.71
87.01876	0.9575	88.66947	Shugi	HispusimShatiah	43	47	1	b	2	1	1153.95
90.01922	0.9575	91.43648	HappyHippo	CrunchBisquitWhite2	18	9	0	b	1	0	917.48
93.01978	0.9575	94.51066	Smarties	Shugi	45	43	0	y	2	1	993.91
97.02064	0.9575	98.62746	Twist	BambaSweet	48	50	1	y	2	0	1113.07
110.0108	0.9575	111.4777	Hit	CrunchBisquitBrown3	13	16	0	y	1	1	958.9
114.0108	0.9575	115.311	Kitkat	HappyHippo	8	18	1	y	1	0	795.86
117.0109	0.9575	118.2944	KinderBuenoWhite2	CrunchBisquitBrown3	7	16	0	b	1	0	780.78
122.011	0.9575	123.2587	KinderBuenoWhite2	DoritosGrill	7	17	0	b	1	0	737.74
125.011	0.9575	127.0113	Popco	CrunchBisquitBrown3	12	16	0	x	1	NaN	NaN
129.011	0.9575	130.5779	ChocolateParaCookies5	DoritosSourSpicy	14	15	1	y	1	0	1062.66
135.0111	0.9575	136.4277	BambaSweet	Shugi	50	43	0	y	2	1	922.58
138.0112	0.9575	139.4449	CrunchBisquitBrown3	DoritosSourSpicy	16	15	1	y	1	0	928.55
142.0119	0.9575	143.379	Taami	HispusimShatiah	54	47	1	y	2	0	859.77
147.0127	0.9575	148.4964	BambaSweet	GumiSnakes3	50	49	0	b	2	0	986.95
151.0134	0.9575	152.3472	ChocolateParaMilk3	Loacker	56	5	0	y	4	1	835.26
163.0155	0.9575	164.2491	KinderJoy	BambaSweet	46	50	1	b	2	1	740.21
169.0165	0.9575	170.3169	ChocolateParaCookies5	Bounty	14	10	1	y	1	0	801.2
172.0171	0.9575	173.5508	ChocolateParaMarir2	CrunchShokoVanil	51	52	1	y	2	0	1035.59
176.0177	0.9575	177.5515	Loacker	BambaNugat	5	55	1	b	4	1	1031.96
179.0183	0.9575	180.8354	Taami	GumiWine2	54	53	1	y	2	0	1315.41
182.0188	0.9575	183.2619	SkittlesSour4	Twist	44	48	0	b	2	0	741.93
185.0194	0.9575	186.4031	Shugi	CrunchShokoVanil	43	52	1	b	2	1	887.33
188.0198	0.9575	189.3954	CrunchBisquitWhite2	DoritosSourSpicy	9	15	1	b	1	1	876.86
