onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.027497	0.91899	3.978939	HispusimShatiah	Smarties	48	47	1	y	2	0	1443.54
6.028151	0.91899	7.661916	Hit	ClickBisquit2	7	11	0	y	1	1	1130.87
9.028688	0.91899	10.62908	SkittlesFruits2	BambaNugat	49	50	1	b	2	1	1100.35
14.0295	0.91899	15.60413	HappyHippo	GumiWine2	52	54	0	b	2	0	1074.54
17.03018	0.91899	18.86384	Taami	Mentos	43	45	1	y	2	0	1330.84
20.03066	0.91899	21.78759	BisliPizza3	PesekZman	18	14	0	b	1	0	1261.39
34.03303	0.91899	35.63784	BabyDoll	ChocolateParaMarir2	44	51	0	y	2	1	1112.96
38.03383	0.91899	39.78792	SkittlesFruits2	BabyDoll	49	44	1	b	2	1	1266.21
42.02107	0.91899	43.50454	DoritosSourSpicy	BisliGrill	13	8	0	y	1	1	976
45.02121	0.91899	46.63788	ClickBlackWhite3	ClickXLwhite4	15	9	0	y	1	1	1111.83
48.02116	0.91899	49.80258	CrunchBisquitWhite2	ClickXLbrown4	16	10	1	y	1	0	1269.88
53.02134	0.91899	54.90474	ClickXLwhite4	BisliPizza3	9	18	1	y	1	0	1376.7
56.02133	0.91899	57.62148	Hit	CrunchBisquitWhite2	7	16	0	y	1	1	1090.7
66.02199	0.91899	67.78922	BambaNugat	Taami	50	43	0	y	2	1	1269.04
72.02307	0.91899	73.97358	ChocolateParaMarir2	Mentos	51	45	1	b	2	1	1443
75.02365	0.91899	76.93843	HappyHippo	SkittlesFruits2	52	49	0	b	2	0	1405.4
79.02436	0.91899	80.87483	ClickBlackWhite3	DoritosGrill	15	17	0	b	1	0	1349.67
84.02525	0.91899	85.74225	BambaSweet	Mentos	46	45	1	y	2	0	1209.82
91.02639	0.91899	92.98862	CrunchBisquitWhite2	DoritosSourSpicy	16	13	1	b	1	1	1457.67
96.02732	0.91899	97.96106	ChocolateParaMarir2	Smarties	51	47	1	y	2	0	1434.7
99.02782	0.91899	100.7616	Taami	Smarties	43	47	1	y	2	0	1234.21
105.0289	0.91899	107.0294	BabyDoll	BambaSweet	44	46	0	x	2	NaN	NaN
109.0295	0.91899	111.03	HispusimShatiah	BambaNugat	48	50	1	x	2	NaN	NaN
121.0317	0.91899	122.3988	CrunchBisquitBrown3	Tictac	6	55	1	b	4	1	868.33
124.0322	0.91899	125.3391	BisliPizza3	CrunchBisquitWhite2	18	16	0	y	1	1	810.82
127.0328	0.91899	128.5225	DoritosSourSpicy	ClickXLwhite4	13	9	0	y	1	1	999.28
131.0335	0.91899	132.8505	GumiWine2	Mentos	54	45	1	b	2	1	1320.58
137.0225	0.91899	138.5015	ClickXLbrown4	PesekZman	10	14	0	b	1	0	967.53
140.0226	0.91899	141.4395	ChocolateParaMilk3	BisliGrill	12	8	0	y	1	1	909.46
149.0227	0.91899	150.5536	GumiWine2	SkittlesSour4	54	53	1	y	2	0	1021.38
153.0227	0.91899	154.4062	Mentos	SkittlesFruits2	45	49	0	y	2	1	881.32
157.0227	0.91899	158.3562	DoritosGrill	DoritosSourSpicy	17	13	1	y	1	0	823.35
160.0228	0.91899	161.6063	ClickBisquit2	ClickXLbrown4	11	10	1	y	1	0	1082.27
163.0229	0.91899	164.5563	ClickXLwhite4	ChocolateParaMilk3	9	12	1	b	1	1	1023.16
173.0241	0.91899	174.4412	HispusimShatiah	SkittlesSour4	48	53	1	b	2	1	911.98
177.0247	0.91899	178.3918	ChocolateParaMilk3	CrunchBisquitWhite2	12	16	0	y	1	1	862.3
185.0262	0.91899	186.7432	ClickXLbrown4	DoritosGrill	10	17	0	b	1	0	1209.79
188.0267	0.91899	189.3937	Tictac	ChocolateParaCookies5	55	5	0	y	4	1	864.3
