onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.012696	0.9575	3.479878	Bounty	BambaSweet	53	43	1	b	2	1	968.36
5.01324	0.9575	6.643727	Tapuchips	Egozi	51	47	0	b	2	0	1119.81
8.013754	0.9575	9.347434	HappyHippo	BisliGrill	12	8	1	y	1	0	823.29
13.01467	0.9575	14.51495	Kitkat	WerthersOriginal	9	13	0	y	1	1	998.4
18.01554	0.9575	19.39386	Hit	Smarties	46	50	0	y	2	1	871.49
25.01672	0.9575	26.4172	Taami	BambaSweet	52	43	1	b	2	1	897.33
29.01739	0.9575	30.518	WerthersOriginal	BisliBbq	13	11	1	y	1	0	995.66
32.01794	0.9575	33.38505	BisliBbq	SkittlesSour4	11	15	0	b	1	0	862.1
39.01916	0.9575	40.31079	Kitkat	Apropo	9	10	0	y	1	1	787.89
43.01984	0.9575	44.30361	BisliBbq	HappyHippo	11	12	0	b	1	0	785.22
46.02039	0.9575	47.69412	BambaNugat	Tapuchips	44	51	1	y	2	0	1175.67
50.02104	0.9575	51.41092	CrunchShokoVanil	Smarties	49	50	0	y	2	1	892
54.02178	0.9575	55.27223	BisliPizza3	SkittlesSour4	14	15	0	b	1	0	751.27
59.02264	0.9575	60.36104	Tapuchips	Taami	51	52	0	b	2	0	841.41
63.02337	0.9575	64.36112	DoritosGrill	HappyHippo	16	12	0	y	1	1	839.68
67.02407	0.9575	68.30792	ClickXLwhite4	CrunchShokoVanil	45	49	1	b	2	1	785.98
70.01093	0.9575	71.42793	Tortit	Smarties	48	50	0	y	2	1	913.11
80.01115	0.9575	81.51139	Egozi	Shugi	47	54	1	y	2	0	994.9
84.01115	0.9575	85.36146	KinderBuenoWhite2	HispusimShatiah	5	56	1	b	4	1	846.9
87.01115	0.9575	88.56146	Hit	Egozi	46	47	0	y	2	1	1044.9
90.01136	0.9575	91.29525	BisliOnion	BisliBbq	18	11	1	y	1	0	783.68
94.01211	0.9575	95.46252	DoritosGrill	WerthersOriginal	16	13	0	y	1	1	953.94
100.0131	0.9575	101.547	Hit	Bounty	46	53	0	b	2	0	1022.98
103.0137	0.9575	104.4474	Tortit	ClickXLwhite4	48	45	0	y	2	1	925.38
106.0142	0.9575	107.3451	Kitkat	Bamba	9	7	0	y	1	1	820.87
110.0149	0.9575	111.2153	Bamba	DoritosGrill	7	16	1	b	1	1	694.18
113.0154	0.9575	114.3492	CrunchShokoVanil	Taami	49	52	0	y	2	1	829.67
116.0159	0.9575	117.6285	BambaNugat	Hit	44	46	1	b	2	1	1104.15
130.0184	0.9575	131.4188	BisliPizza3	BisliOnion	14	18	0	b	1	0	901.7
140.0201	0.9575	141.3622	Bounty	CrunchShokoVanil	53	49	1	b	2	1	838.98
146.0212	0.9575	147.6788	Apropo	BisliPizza3	10	14	1	b	1	1	1161.89
150.0218	0.9575	151.429	Smarties	BambaSweet	50	43	1	b	2	1	908.26
156.0229	0.9575	157.4957	Hit	ClickXLwhite4	46	45	0	y	2	1	975.16
160.0236	0.9575	161.3073	Bamba	BisliBbq	7	11	1	b	1	1	783.49
166.0246	0.9575	167.7624	Loacker	Twist	6	55	1	b	4	1	1246.43
178.0136	0.9575	179.5938	Bamba	BisliGrill	7	8	1	y	1	0	1069.44
181.0124	0.9575	182.6127	Apropo	BisliGrill	10	8	1	y	1	0	1089.63
188.0132	0.9575	189.3128	Apropo	Mekupelet	10	17	1	b	1	1	799.88
