onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
767.7562	1	768.7932	DoritosNatural	10	1	1	750.0675	1022.701
770.7425	1	771.7608	BisliOnion	43	0	0	NaN	NaN
774.7473	1	775.7654	Keifli	58	0	0	NaN	NaN
776.7496	1	777.7687	BagaleShtuhim	41	0	0	NaN	NaN
778.7518	1	779.7703	ChocolateParaCookies5	5	0	1	NaN	NaN
782.7563	1	783.7749	Twist	56	0	0	NaN	NaN
784.7585	1	785.7931	CrunchShokoVanil	45	1	0	816.7244	556.3121
789.7475	1	790.7657	KashitSour	48	0	0	NaN	NaN
791.7497	1	792.7875	Twix	7	1	1	700.0496	933.1363
794.7531	1	795.7711	ClickBalls5	42	0	0	NaN	NaN
797.7565	1	798.7747	Hit	21	0	1	NaN	NaN
801.7443	1	802.7631	Popco	8	0	1	NaN	NaN
804.7477	1	805.7855	DoritosGrill	12	1	1	716.7222	935.1761
806.7499	1	807.7848	BambaNugat	53	1	0	833.3914	1005.099
809.7534	1	810.7712	Mekupelet	16	0	1	NaN	NaN
813.7577	1	814.7761	KinderBuenoBrown3	9	0	1	NaN	NaN
816.7444	1	817.7803	ClickBisquit2	18	1	1	733.3906	890.4728
818.7467	1	819.7827	BambaSweet	52	1	0	783.3734	984.146
820.749	1	821.7677	Bamba	14	0	1	NaN	NaN
825.7544	1	826.7726	Kitkat	57	0	0	NaN	NaN
829.759	1	830.7771	Tapuchips	55	0	0	NaN	NaN
833.7468	1	834.7646	Cheetos	20	0	1	NaN	NaN
839.7535	1	840.7718	HispusimShatiah	49	0	0	NaN	NaN
841.7557	1	842.7923	DoritosSourSpicy	50	1	0	800.1052	967.1097
843.7411	1	844.7596	Egozi	54	0	0	NaN	NaN
845.7433	1	846.7615	Loacker	11	0	1	NaN	NaN
847.7458	1	848.7652	Mars	6	0	1	NaN	NaN
851.7503	1	852.7683	GumiSnakes3	46	0	0	NaN	NaN
853.7525	1	854.7704	ChocolateParaSucariotKoftzot2	22	0	1	NaN	NaN
857.7569	1	858.7761	CrunchBisquitWhite2	39	0	0	NaN	NaN
859.7423	1	860.7604	KifkefMaklot2	17	0	1	NaN	NaN
861.7447	1	862.7819	GumiWine2	47	1	0	816.7173	1010.254
863.747	1	864.7649	BisliBbq	19	0	1	NaN	NaN
868.7527	1	869.7709	Tictac	51	0	0	NaN	NaN
870.7549	1	871.7729	KinderJoy	40	0	0	NaN	NaN
872.7571	1	873.7754	Apropo	4	0	1	NaN	NaN
875.7439	1	876.762	BisliPizza3	3	0	1	NaN	NaN
882.7516	1	883.7866	ClickXLbrown4	13	1	1	750.0502	939.2297
886.7561	1	887.7927	BabyDoll	44	1	0	766.7119	886.7954
893.7469	1	894.7825	ClickXLwhite4	15	1	1	766.7142	951.8801
