onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
316.2483	1	317.2661	KinderBuenoBrown3	20	0	1	NaN	NaN
319.235	1	320.2531	Halva2	50	0	0	NaN	NaN
323.2394	1	324.2574	ChocolateParaMarir2	7	0	1	NaN	NaN
325.2417	1	326.2782	CrunchBisquitWhite2	9	1	1	750.0629	969.3751
327.2439	1	328.2624	SkittlesSour4	3	0	1	NaN	NaN
331.2317	1	332.2497	Dubonim	13	0	1	NaN	NaN
333.2339	1	334.2516	Mentos	22	0	1	NaN	NaN
338.2396	1	339.2742	Smarties	46	1	0	683.4153	891.4635
340.2418	1	341.2598	BabyDoll	53	0	0	NaN	NaN
343.2452	1	344.2807	BambaSweet	54	1	0	700.053	933.8871
346.2319	1	347.2498	Bamba	5	0	1	NaN	NaN
350.2364	1	351.2707	BisliOnion	17	1	1	766.7893	1014.761
353.2398	1	354.2574	Popco	40	0	0	NaN	NaN
355.2419	1	356.2597	BagaleShtuhim	12	0	1	NaN	NaN
358.2453	1	359.2964	PesekZman	11	1	1	716.7181	917.7112
362.2332	1	363.2511	ChocolateParaSucariotKoftzot2	19	0	1	NaN	NaN
365.2365	1	366.2542	Tictac	56	0	0	NaN	NaN
367.2388	1	368.2568	Cheetos	21	0	1	NaN	NaN
369.241	1	370.259	KinderJoy	39	0	0	NaN	NaN
374.2467	1	375.2647	SkittlesFruits2	18	0	1	NaN	NaN
378.2344	1	379.2524	ClickXLwhite4	55	0	0	NaN	NaN
382.2389	1	383.2569	Apropo	15	0	1	NaN	NaN
388.2456	1	389.2636	ClickXLbrown4	42	0	0	NaN	NaN
390.2309	1	391.2492	DoritosGrill	44	0	0	NaN	NaN
392.2334	1	393.2689	Hit	43	1	0	716.7147	961.6774
394.2357	1	395.2707	HispusimShatiah	51	1	0	733.3791	935.3726
396.2379	1	397.256	ChocolateParaCookies5	41	0	0	NaN	NaN
400.2424	1	401.2604	ChocolateParaMilk3	45	0	0	NaN	NaN
402.2446	1	403.2623	Snickers	10	0	1	NaN	NaN
406.2326	1	407.2687	Keifli	14	1	1	733.3793	954.5057
408.2347	1	409.2702	CrunchBisquitBrown3	8	1	1	750.0441	992.3511
410.2369	1	411.2735	Mars	16	1	1	766.727	1030.116
412.2392	1	413.2589	GumiSnakes3	57	0	0	NaN	NaN
417.2449	1	418.2628	KashitSour	52	0	0	NaN	NaN
419.2301	1	420.2483	Twist	47	0	0	NaN	NaN
421.2325	1	422.2507	DoritosSourSpicy	6	0	1	NaN	NaN
424.2359	1	425.2708	Bounty	49	1	0	750.0784	967.1137
431.2439	1	432.2624	Tortit	58	0	0	NaN	NaN
435.2316	1	436.2671	BisliPizza3	48	1	0	766.7226	995.4332
442.2394	1	443.2575	Taami	4	0	1	NaN	NaN
